#     WAVENUMBER        TRANSMISSION
   5755.54613781      0.99545194
   5755.56032228      0.99618926
   5755.57450652      0.99733969
   5755.58869100      0.99810167
   5755.60287523      0.99846621
   5755.61705971      0.99867133
   5755.63124394      0.99879851
   5755.64542842      0.99888277
   5755.65961289      0.99894153
   5755.67379713      0.99898425
   5755.68798161      0.99901634
   5755.70216584      0.99904106
   5755.71635032      0.99906058
   5755.73053479      0.99907626
   5755.74471903      0.99908899
   5755.75890350      0.99909951
   5755.77308774      0.99910829
   5755.78727221      0.99911570
   5755.80145669      0.99912204
   5755.81564093      0.99912747
   5755.82982540      0.99913217
   5755.84400964      0.99913630
   5755.85819411      0.99913991
   5755.87237835      0.99914308
   5755.88656282      0.99914588
   5755.90074730      0.99914834
   5755.91493154      0.99915050
   5755.92911601      0.99915242
   5755.94330025      0.99915417
   5755.95748472      0.99915571
   5755.97166920      0.99915714
   5755.98585343      0.99915841
   5756.00003791      0.99915951
   5756.01422215      0.99916053
   5756.02840662      0.99916141
   5756.04259109      0.99916218
   5756.05677533      0.99916285
   5756.07095981      0.99916345
   5756.08514404      0.99916395
   5756.09932852      0.99916441
   5756.11351275      0.99916481
   5756.12769723      0.99916511
   5756.14188170      0.99916534
   5756.15606594      0.99916550
   5756.17025042      0.99916558
   5756.18443465      0.99916564
   5756.19861913      0.99916566
   5756.21280360      0.99916564
   5756.22698784      0.99916559
   5756.24117231      0.99916548
   5756.25535655      0.99916532
   5756.26954103      0.99916506
   5756.28372550      0.99916479
   5756.29790974      0.99916443
   5756.31209421      0.99916403
   5756.32627845      0.99916360
   5756.34046292      0.99916306
   5756.35464716      0.99916250
   5756.36883163      0.99916187
   5756.38301611      0.99916117
   5756.39720035      0.99916043
   5756.41138482      0.99915960
   5756.42556906      0.99915868
   5756.43975353      0.99915770
   5756.45393801      0.99915658
   5756.46812224      0.99915540
   5756.48230672      0.99915417
   5756.49649096      0.99915279
   5756.51067543      0.99915133
   5756.52485991      0.99914972
   5756.53904414      0.99914796
   5756.55322862      0.99914607
   5756.56741285      0.99914403
   5756.58159733      0.99914181
   5756.59578156      0.99913939
   5756.60996604      0.99913674
   5756.62415051      0.99913386
   5756.63833475      0.99913067
   5756.65251923      0.99912715
   5756.66670346      0.99912331
   5756.68088794      0.99911906
   5756.69507241      0.99911437
   5756.70925665      0.99910917
   5756.72344112      0.99910330
   5756.73762536      0.99909669
   5756.75180984      0.99908918
   5756.76599431      0.99908067
   5756.78017855      0.99907091
   5756.79436302      0.99905962
   5756.80859375      0.99904646
   5756.82277813      0.99903095
   5756.83696250      0.99901247
   5756.85114688      0.99899020
   5756.86533126      0.99896296
   5756.87951563      0.99892893
   5756.89370001      0.99888547
   5756.90788439      0.99882867
   5756.92206877      0.99875209
   5756.93625315      0.99864538
   5756.95043752      0.99849008
   5756.96462190      0.99825136
   5756.97880627      0.99786148
   5756.99299064      0.99717761
   5757.00717503      0.99586233
   5757.02135940      0.99399745
   5757.03554378      0.99306271
   5757.04972816      0.99290213
   5757.06391254      0.99336981
   5757.07809693      0.99471483
   5757.09228128      0.99569893
   5757.10646567      0.99627545
   5757.12065005      0.99685293
   5757.13483441      0.99726059
   5757.14901879      0.99710316
   5757.16320318      0.99654779
   5757.17738754      0.99624321
   5757.19157192      0.99616443
   5757.20575631      0.99620078
   5757.21994069      0.99645326
   5757.23412505      0.99675591
   5757.24830943      0.99704090
   5757.26249382      0.99747605
   5757.27667817      0.99805729
   5757.29086256      0.99838403
   5757.30504695      0.99853695
   5757.31923133      0.99861605
   5757.33341569      0.99865507
   5757.34760010      0.99866823
   5757.36178446      0.99866166
   5757.37596881      0.99863740
   5757.39015323      0.99859453
   5757.40433758      0.99852954
   5757.41852194      0.99843545
   5757.43270636      0.99829958
   5757.44689071      0.99809933
   5757.46107507      0.99779265
   5757.47525948      0.99729608
   5757.48944384      0.99643333
   5757.50362819      0.99505095
   5757.51781261      0.99316357
   5757.53199697      0.99184875
   5757.54618132      0.99146710
   5757.56036574      0.99162569
   5757.57455009      0.99234956
   5757.58873451      0.99246552
   5757.60291886      0.99073358
   5757.61710322      0.98790501
   5757.63128763      0.98688456
   5757.64547199      0.98730469
   5757.65965635      0.98924984
   5757.67384076      0.99259027
   5757.68802512      0.99419240
   5757.70220947      0.99401493
   5757.71639389      0.99226000
   5757.73057824      0.99028217
   5757.74476260      0.98903905
   5757.75894701      0.98829358
   5757.77313137      0.98962741
   5757.78731579      0.99190954
   5757.80150014      0.99380034
   5757.81568456      0.99587125
   5757.82986891      0.99710889
   5757.84405327      0.99772464
   5757.85823762      0.99808487
   5757.87242198      0.99831640
   5757.88660645      0.99847509
   5757.90079081      0.99858950
   5757.91497517      0.99867493
   5757.92915952      0.99874051
   5757.94334388      0.99879212
   5757.95752823      0.99883327
   5757.97171271      0.99886652
   5757.98589706      0.99889373
   5758.00008142      0.99891599
   5758.01426578      0.99893432
   5758.02845013      0.99894936
   5758.04263449      0.99896159
   5758.05681896      0.99897137
   5758.07100332      0.99897892
   5758.08518767      0.99898433
   5758.09937203      0.99898768
   5758.11355639      0.99898885
   5758.12774086      0.99898763
   5758.14192522      0.99898376
   5758.15610957      0.99897660
   5758.17029393      0.99896528
   5758.18447828      0.99894807
   5758.19866264      0.99892226
   5758.21284711      0.99888286
   5758.22703147      0.99881982
   5758.24121583      0.99871202
   5758.25540018      0.99851049
   5758.26958454      0.99809393
   5758.28376889      0.99752239
   5758.29795337      0.99725042
   5758.31213772      0.99718553
   5758.32632208      0.99729697
   5758.34050643      0.99745003
   5758.35469079      0.99713791
   5758.36887527      0.99693485
   5758.38305962      0.99697657
   5758.39724398      0.99725555
   5758.41142833      0.99780726
   5758.42561269      0.99813872
   5758.43979704      0.99816863
   5758.45398152      0.99797385
   5758.46816587      0.99749164
   5758.48235023      0.99706430
   5758.49653459      0.99695030
   5758.51071894      0.99705475
   5758.52490342      0.99741697
   5758.53908777      0.99771359
   5758.55327213      0.99754509
   5758.56745648      0.99724671
   5758.58164084      0.99720139
   5758.59582520      0.99735801
   5758.61000967      0.99776629
   5758.62419403      0.99828093
   5758.63837838      0.99855680
   5758.65256274      0.99870105
   5758.66674709      0.99878558
   5758.68093145      0.99883747
   5758.69511592      0.99886960
   5758.70930028      0.99888854
   5758.72348464      0.99889780
   5758.73766899      0.99889912
   5758.75185335      0.99889310
   5758.76603782      0.99887944
   5758.78022218      0.99885682
   5758.79440653      0.99882276
   5758.80859089      0.99877261
   5758.82277536      0.99869833
   5758.83695960      0.99858510
   5758.85114408      0.99840429
   5758.86532831      0.99809876
   5758.87951279      0.99754440
   5758.89369726      0.99646101
   5758.90788150      0.99522186
   5758.92206597      0.99480815
   5758.93625021      0.99501513
   5758.95043468      0.99591904
   5758.96461916      0.99724513
   5758.97880340      0.99794347
   5758.99298787      0.99826681
   5759.00717211      0.99843548
   5759.02135658      0.99852470
   5759.03554082      0.99856684
   5759.04972529      0.99857689
   5759.06390977      0.99856099
   5759.07809401      0.99852014
   5759.09227848      0.99845097
   5759.10646272      0.99834421
   5759.12064719      0.99818089
   5759.13483167      0.99792223
   5759.14901590      0.99748138
   5759.16320038      0.99680388
   5759.17738461      0.99618798
   5759.19156909      0.99555505
   5759.20575356      0.99468907
   5759.21993780      0.99320587
   5759.23412228      0.99007734
   5759.24830651      0.98722403
   5759.26249099      0.98617388
   5759.27667522      0.98668274
   5759.29085970      0.98950779
   5759.30504417      0.99281413
   5759.31922841      0.99481419
   5759.33341289      0.99617549
   5759.34759712      0.99686850
   5759.36178160      0.99719648
   5759.37596607      0.99730505
   5759.39015031      0.99723206
   5759.40433478      0.99695112
   5759.41851902      0.99635643
   5759.43270350      0.99520271
   5759.44688797      0.99376964
   5759.46107221      0.99250716
   5759.47525668      0.99092193
   5759.48944092      0.99025352
   5759.50362539      0.99089466
   5759.51780963      0.99180022
   5759.53199410      0.99329448
   5759.54617858      0.99430856
   5759.56036282      0.99394403
   5759.57454729      0.99373251
   5759.58873153      0.99402471
   5759.60291600      0.99480871
   5759.61710048      0.99620962
   5759.63128471      0.99727251
   5759.64546919      0.99780440
   5759.65965343      0.99811241
   5759.67383790      0.99830770
   5759.68802238      0.99843899
   5759.70220661      0.99853088
   5759.71639109      0.99859705
   5759.73057532      0.99864527
   5759.74475980      0.99868031
   5759.75894403      0.99870545
   5759.77312851      0.99872268
   5759.78731298      0.99873336
   5759.80149722      0.99873846
   5759.81568170      0.99873843
   5759.82986593      0.99873354
   5759.84405041      0.99872385
   5759.85823488      0.99870926
   5759.87241912      0.99868943
   5759.88660359      0.99866378
   5759.90078783      0.99863162
   5759.91497231      0.99859184
   5759.92915678      0.99854290
   5759.94334102      0.99848279
   5759.95752549      0.99840883
   5759.97170973      0.99831703
   5759.98589420      0.99820202
   5760.00007844      0.99805616
   5760.01426291      0.99786779
   5760.02844739      0.99761936
   5760.04263163      0.99728333
   5760.05681610      0.99681383
   5760.07100034      0.99613238
   5760.08518481      0.99509896
   5760.09936929      0.99344507
   5760.11355352      0.99058874
   5760.12773800      0.98608526
   5760.14192224      0.98210974
   5760.15610671      0.97816529
   5760.17029119      0.97276289
   5760.18447542      0.97078457
   5760.19865990      0.97236257
   5760.21289063      0.97593404
   5760.22707500      0.98299238
   5760.24125938      0.98969008
   5760.25544376      0.99301099
   5760.26962813      0.99482613
   5760.28381251      0.99592712
   5760.29799689      0.99663874
   5760.31218126      0.99711988
   5760.32636564      0.99745513
   5760.34055002      0.99769176
   5760.35473439      0.99785619
   5760.36891878      0.99796255
   5760.38310315      0.99801579
   5760.39728752      0.99801071
   5760.41147190      0.99792687
   5760.42565627      0.99771657
   5760.43984066      0.99726990
   5760.45402503      0.99633503
   5760.46820942      0.99525832
   5760.48239380      0.99492443
   5760.49657816      0.99514733
   5760.51076254      0.99599870
   5760.52494693      0.99722485
   5760.53913128      0.99787979
   5760.55331567      0.99819641
   5760.56750005      0.99837357
   5760.58168441      0.99847976
   5760.59586880      0.99854546
   5760.61005318      0.99858545
   5760.62423757      0.99860738
   5760.63842192      0.99861532
   5760.65260631      0.99861126
   5760.66679069      0.99859579
   5760.68097505      0.99856856
   5760.69515944      0.99852827
   5760.70934382      0.99847200
   5760.72352821      0.99839571
   5760.73771256      0.99829270
   5760.75189698      0.99815236
   5760.76608133      0.99795845
   5760.78026569      0.99768308
   5760.79445010      0.99727753
   5760.80863446      0.99665131
   5760.82281882      0.99562887
   5760.83700323      0.99384664
   5760.85118759      0.99046216
   5760.86537194      0.98522529
   5760.87955636      0.98146470
   5760.89374071      0.98009953
   5760.90792507      0.98143879
   5760.92210948      0.98588256
   5760.93629384      0.98982719
   5760.95047820      0.99207888
   5760.96466261      0.99359397
   5760.97884697      0.99461701
   5760.99303138      0.99550110
   5761.00721574      0.99654494
   5761.02140009      0.99734816
   5761.03558451      0.99777342
   5761.04976887      0.99802830
   5761.06395322      0.99819276
   5761.07813764      0.99830229
   5761.09232199      0.99837471
   5761.10650635      0.99841978
   5761.12069076      0.99844256
   5761.13487512      0.99844541
   5761.14905947      0.99842878
   5761.16324389      0.99839083
   5761.17742825      0.99832774
   5761.19161266      0.99823245
   5761.20579702      0.99809320
   5761.21998143      0.99789014
   5761.23416579      0.99759021
   5761.24835014      0.99713293
   5761.26253450      0.99640720
   5761.27671885      0.99519924
   5761.29090333      0.99305835
   5761.30508769      0.98903508
   5761.31927204      0.98483691
   5761.33345640      0.98357462
   5761.34764075      0.98452503
   5761.36182511      0.98801749
   5761.37600958      0.99271655
   5761.39019394      0.99522095
   5761.40437829      0.99649757
   5761.41856265      0.99724279
   5761.43274701      0.99771267
   5761.44693136      0.99802632
   5761.46111584      0.99824588
   5761.47530019      0.99840545
   5761.48948455      0.99852483
   5761.50366890      0.99861647
   5761.51785326      0.99868830
   5761.53203773      0.99874567
   5761.54622209      0.99879215
   5761.56040645      0.99883037
   5761.57459080      0.99886218
   5761.58877516      0.99888880
   5761.60295951      0.99891130
   5761.61714399      0.99893042
   5761.63132834      0.99894679
   5761.64551270      0.99896087
   5761.65969706      0.99897305
   5761.67388141      0.99898364
   5761.68806577      0.99899278
   5761.70225024      0.99900068
   5761.71643460      0.99900754
   5761.73061895      0.99901342
   5761.74480331      0.99901851
   5761.75898767      0.99902282
   5761.77317214      0.99902638
   5761.78735650      0.99902925
   5761.80154085      0.99903151
   5761.81572521      0.99903316
   5761.82990956      0.99903425
   5761.84409392      0.99903481
   5761.85827839      0.99903473
   5761.87246275      0.99903408
   5761.88664711      0.99903281
   5761.90083146      0.99903091
   5761.91501582      0.99902833
   5761.92920029      0.99902499
   5761.94338465      0.99902081
   5761.95756900      0.99901562
   5761.97175336      0.99900935
   5761.98593771      0.99900180
   5762.00012207      0.99899272
   5762.01430655      0.99898175
   5762.02849090      0.99896842
   5762.04267526      0.99895205
   5762.05685961      0.99893169
   5762.07104397      0.99890597
   5762.08522832      0.99887264
   5762.09941280      0.99882827
   5762.11359715      0.99876689
   5762.12778151      0.99867768
   5762.14196587      0.99853918
   5762.15615022      0.99830633
   5762.17033470      0.99787584
   5762.18451905      0.99701922
   5762.19870341      0.99609633
   5762.21288776      0.99577829
   5762.22707224      0.99587460
   5762.24125648      0.99646012
   5762.25544095      0.99723800
   5762.26962519      0.99742723
   5762.28380966      0.99719866
   5762.29799414      0.99656389
   5762.31217837      0.99524928
   5762.32636285      0.99307222
   5762.34054708      0.99137415
   5762.35473156      0.99101732
   5762.36891603      0.99185524
   5762.38310027      0.99391827
   5762.39728475      0.99594447
   5762.41146898      0.99700129
   5762.42565346      0.99746822
   5762.43983769      0.99762553
   5762.45402217      0.99751461
   5762.46820664      0.99712470
   5762.48239088      0.99678507
   5762.49657536      0.99649141
   5762.51075959      0.99605419
   5762.52494407      0.99569373
   5762.53912854      0.99573338
   5762.55331278      0.99600126
   5762.56749725      0.99663107
   5762.58168149      0.99753332
   5762.59586596      0.99805870
   5762.61005044      0.99832531
   5762.62423468      0.99847871
   5762.63841915      0.99857121
   5762.65260339      0.99862673
   5762.66678786      0.99865717
   5762.68097210      0.99866810
   5762.69515657      0.99866120
   5762.70934105      0.99863506
   5762.72352529      0.99858419
   5762.73770976      0.99849683
   5762.75189400      0.99834978
   5762.76607847      0.99809615
   5762.78026295      0.99762963
   5762.79444718      0.99682170
   5762.80863166      0.99625700
   5762.82281590      0.99617053
   5762.83700037      0.99645644
   5762.85118484      0.99719945
   5762.86536908      0.99787468
   5762.87955356      0.99818222
   5762.89373779      0.99833032
   5762.90792227      0.99839914
   5762.92210650      0.99841976
   5762.93629098      0.99840472
   5762.95047545      0.99835698
   5762.96465969      0.99827178
   5762.97884417      0.99813503
   5762.99302840      0.99791808
   5763.00721288      0.99756258
   5763.02139735      0.99694224
   5763.03558159      0.99583144
   5763.04976606      0.99484292
   5763.06395030      0.99452196
   5763.07813478      0.99467199
   5763.09231925      0.99537704
   5763.10650349      0.99605401
   5763.12068796      0.99591692
   5763.13487220      0.99493779
   5763.14905667      0.99370491
   5763.16324091      0.99312570
   5763.17742538      0.99291431
   5763.19160986      0.99305320
   5763.20579410      0.99287862
   5763.21997857      0.99154434
   5763.23416281      0.98996066
   5763.24834728      0.98758394
   5763.26253176      0.98353079
   5763.27671599      0.97891651
   5763.29090047      0.97583464
   5763.30508471      0.97617151
   5763.31926918      0.97986981
   5763.33345366      0.98552778
   5763.34763789      0.99014261
   5763.36182237      0.99194088
   5763.37600660      0.99245497
   5763.39019108      0.99292221
   5763.40437531      0.99345197
   5763.41855979      0.99421932
   5763.43274426      0.99505191
   5763.44692850      0.99531533
   5763.46111298      0.99517898
   5763.47529721      0.99473157
   5763.48948169      0.99392842
   5763.50366616      0.99262226
   5763.51785040      0.99050776
   5763.53203487      0.98699324
   5763.54621911      0.98086612
   5763.56040359      0.96938039
   5763.57458806      0.95431388
   5763.58877230      0.94800168
   5763.60295677      0.94947899
   5763.61669922      0.95871811
   5763.63088360      0.97456566
   5763.64506797      0.98450651
   5763.65925235      0.98941814
   5763.67343673      0.99222637
   5763.68762110      0.99397018
   5763.70180548      0.99511715
   5763.71598986      0.99590891
   5763.73017424      0.99647479
   5763.74435861      0.99688952
   5763.75854298      0.99719777
   5763.77272737      0.99742684
   5763.78691174      0.99759255
   5763.80109611      0.99770057
   5763.81528050      0.99774558
   5763.82946487      0.99770291
   5763.84364925      0.99750806
   5763.85783362      0.99702580
   5763.87201801      0.99656668
   5763.88620239      0.99649072
   5763.90038675      0.99668591
   5763.91457114      0.99722050
   5763.92875552      0.99784549
   5763.94293988      0.99815322
   5763.95712426      0.99831023
   5763.97130865      0.99840222
   5763.98549300      0.99845961
   5763.99967739      0.99849593
   5764.01386178      0.99851762
   5764.02804616      0.99852775
   5764.04223052      0.99852764
   5764.05641490      0.99851731
   5764.07059929      0.99849551
   5764.08478364      0.99845951
   5764.09896803      0.99840437
   5764.11315241      0.99832089
   5764.12733680      0.99819179
