2M13123506+1814286   1.457 M53
2M13123617+1807320   1.186 M53
2M13123737+1808232   0.730 M53
2M13123901+1815578   1.625 M53
2M13124042+1817083   1.739 M53
2M13124082+1811099   1.665 M53
2M13124393+1810092   0.960 M53
2M13124552+1811289   0.492 M53
2M13124754+1804153   1.899 M53
2M13124768+1810060   0.974 M53
2M13124794+1806320   1.284 M53
2M13124819+1812465   1.098 M53
2M13124987+1811487   1.385 M53
2M13125038+1814391   1.497 M53
2M13125220+1807361   1.606 M53
2M13125428+1816071   1.717 M53
2M13125496+1805350   1.460 M53
2M13125650+1812375   1.493 M53
2M13125725+1806050   1.221 M53
2M13125915+1814356   0.718 M53
2M13130138+1807307   1.675 M53
2M13130189+1810238   1.391 M53
2M13130246+1813234   1.253 M53
2M13130335+1811434   1.272 M53
2M13130442+1808556   1.492 M53
2M13130467+1810594   0.595 M53
2M13130531+1814508   1.139 M53
2M13130592+1800214   1.118 M53
2M13130945+1811188   1.370 M53
2M13131006+1806152   1.650 M53
2M13131057+1804054   1.641 M53
2M13131146+1808094   1.863 M53
2M13131450+1812502   1.714 M53
2M13131736+1814463   1.122 M53
2M13131976+1819424   1.591 M53
2M21325385-0053569   0.585 M2
2M21330924-0049508   1.371 M2
2M21331069-0051096   1.155 M2
2M21331293-0045169   1.528 M2
2M21331406-0053534   0.865 M2
2M21331406-0053534   0.864 M2
2M21331521-0049516   0.949 M2
2M21331521-0049516   0.953 M2
2M21331674-0047039   1.681 M2
2M21331723-0048171   0.749 M2
2M21331854-0051563   1.086 M2
2M21331854-0051563   1.096 M2
2M21332068-0050432   1.124 M2
2M21332399-0055167   0.932 M2
2M21332531-0052511   1.136 M2
2M21332531-0052511   1.144 M2
2M21332616-0045172   1.119 M2
2M21332616-0045172   1.117 M2
2M21332953-0050513   0.640 M2
2M21333109-0054522   1.245 M2
2M21333432-0051285   0.927 M2
2M21333432-0051285   0.923 M2
2M21333520-0046089   0.704 M2
2M21333747-0047252   1.638 M2
2M21333827-0054569   0.470 M2
2M21333827-0054569   0.473 M2
2M21333847-0050263   1.232 M2
2M21334193-0048169   1.626 M2
2M16404298+3627418   1.473 M13
2M16404298+3627418   1.465 M13
2M16405539+3635433   2.116 M13
2M16405637+3622185   2.032 M13
2M16410507+3628208   2.233 M13
2M16410648+3628136   1.481 M13
2M16410966+3626448   2.275 M13
2M16411511+3623538   2.183 M13
2M16411521+3629240   1.726 M13
2M16411583+3633177   2.318 M13
2M16411700+3625479   1.643 M13
2M16411831+3626407   2.269 M13
2M16411882+3628232   2.361 M13
2M16411948+3630280   2.415 M13
2M16411983+3624381   1.701 M13
2M16411983+3624381   1.720 M13
2M16412408+3625306   0.837 M13
2M16412450+3629378   1.932 M13
2M16412709+3628002   0.935 M13
2M16412729+3632226   2.282 M13
2M16412815+3625274   1.554 M13
2M16412837+3627038   1.553 M13
2M16412844+3627332   1.893 M13
2M16412975+3631563   2.007 M13
2M16413042+3623318   2.446 M13
2M16413053+3629434   1.080 M13
2M16413082+3630130   1.725 M13
2M16413107+3625587   1.183 M13
2M16413125+3628022   1.501 M13
2M16413127+3625182   1.608 M13
2M16413182+3628553   1.695 M13
2M16413200+3628299   0.611 M13
2M16413253+3624424   0.724 M13
2M16413327+3632285   2.133 M13
2M16413392+3630057   0.813 M13
2M16413437+3625048   1.025 M13
2M16413448+3626365   0.895 M13
2M16413482+3627197   0.760 M13
2M16413500+3625253   1.574 M13
2M16413684+3629289   1.812 M13
2M16413701+3621058   2.580 M13
2M16413707+3630378   1.888 M13
2M16413725+3629368   1.138 M13
2M16413869+3622400   1.379 M13
2M16413945+3632029   2.191 M13
2M16413961+3627381   0.993 M13
2M16413987+3629173   1.888 M13
2M16414053+3624430   2.176 M13
2M16414081+3634114   1.898 M13
2M16414113+3628499   1.714 M13
2M16414196+3626518   0.431 M13
2M16414295+3619485   2.254 M13
2M16414398+3622338   1.348 M13
2M16414459+3625536   2.034 M13
2M16414478+3623273   1.654 M13
2M16414528+3631068   1.608 M13
2M16414545+3630114   1.429 M13
2M16414558+3630328   1.810 M13
2M16414572+3622501   1.902 M13
2M16414680+3627039   1.096 M13
2M16414739+3625111   1.370 M13
2M16414744+3628284   0.732 M13
2M16414800+3629531   1.326 M13
2M16414804+3631392   2.225 M13
2M16414814+3623362   2.164 M13
2M16414879+3626505   1.687 M13
2M16414932+3625264   1.512 M13
2M16414966+3627104   1.107 M13
2M16415003+3625105   1.420 M13
2M16415024+3629431   1.606 M13
2M16415030+3624157   0.626 M13
2M16415037+3623417   1.794 M13
2M16415092+3628545   0.559 M13
2M16415160+3629363   1.864 M13
2M16415190+3619350   2.230 M13
2M16415378+3626140   1.885 M13
2M16415411+3626092   1.342 M13
2M16415462+3627229   1.362 M13
2M16415494+3627421   1.765 M13
2M16415543+3633266   1.721 M13
2M16415543+3633266   1.725 M13
2M16415681+3641510   2.347 M13
2M16415735+3625217   1.909 M13
2M16415742+3623154   1.981 M13
2M16415842+3628312   1.925 M13
2M16420038+3625250   2.029 M13
2M16420085+3623338   1.240 M13
2M16420085+3623338   1.235 M13
2M16420255+3632326   2.264 M13
2M16420936+3624470   2.402 M13
2M16421018+3637510   2.278 M13
2M16421358+3628365   2.420 M13
2M16421482+3627199   1.256 M13
2M16421482+3627199   1.255 M13
2M16421650+3626137   2.234 M13
2M16421652+3624587   1.955 M13
2M16421910+3637033   2.364 M13
2M16422126+3633533   2.114 M13
2M16422603+3627048   2.313 M13
2M16423056+3619513   2.470 M13
2M16423760+3617342   2.457 M13
2M16423787+3624127   1.749 M13
2M16423787+3624127   1.735 M13
2M16424322+3636002   1.408 M13
2M16424322+3636002   1.419 M13
2M16424322+3636002   1.418 M13
2M13410315+2812391   1.402 M3
2M13410315+2812391   1.409 M3
2M13410315+2812391   1.407 M3
2M13410322+2826217   0.897 M3
2M13410322+2826217   0.893 M3
2M13410322+2826217   0.897 M3
2M13411502+2824120   1.827 M3
2M13411502+2824120   1.828 M3
2M13411502+2824120   1.817 M3
2M13412055+2811492   2.033 M3
2M13412055+2811492   2.037 M3
2M13412055+2811492   2.030 M3
2M13412229+2815084   2.281 M3
2M13412229+2815084   2.272 M3
2M13412229+2815084   2.273 M3
2M13412358+2829403   1.551 M3
2M13412358+2829403   1.553 M3
2M13412683+2823443   1.749 M3
2M13412683+2823443   1.760 M3
2M13412885+2804523   2.032 M3
2M13412885+2804523   2.037 M3
2M13412885+2804523   2.037 M3
2M13412973+2821299   1.942 M3
2M13412973+2821299   1.937 M3
2M13413024+2822163   1.267 M3
2M13413024+2822163   1.265 M3
2M13413024+2822163   1.265 M3
2M13413331+2826542   2.414 M3
2M13413405+2817366   1.561 M3
2M13413405+2817366   1.565 M3
2M13413631+2821243   1.182 M3
2M13413631+2821243   1.185 M3
2M13413631+2821243   1.184 M3
2M13414163+2828583   2.082 M3
2M13414359+2829513   1.865 M3
2M13414359+2829513   1.868 M3
2M13414361+2822204   1.417 M3
2M13414361+2822204   1.416 M3
2M13414426+2826048   1.361 M3
2M13414426+2826048   1.360 M3
2M13414464+2826206   2.099 M3
2M13414464+2826206   2.105 M3
2M13414465+2823096   2.030 M3
2M13414465+2823096   2.026 M3
2M13414721+2829488   1.480 M3
2M13414721+2829488   1.482 M3
2M13414871+2820024   1.927 M3
2M13414871+2820024   1.916 M3
2M13414878+2817328   2.201 M3
2M13414878+2817328   2.187 M3
2M13414946+2821243   2.042 M3
2M13414946+2821243   2.038 M3
2M13414952+2831297   2.179 M3
2M13414952+2831297   2.177 M3
2M13414952+2831297   2.188 M3
2M13414969+2825474   1.882 M3
2M13415152+2823224   0.523 M3
2M13415152+2823224   0.531 M3
2M13415152+2823224   0.518 M3
2M13415168+2825579   2.380 M3
2M13415318+2819255   1.458 M3
2M13415318+2819255   1.457 M3
2M13415459+2820595   1.130 M3
2M13415459+2820595   1.130 M3
2M13415459+2820595   1.134 M3
2M13415502+2819149   0.940 M3
2M13415502+2819149   0.935 M3
2M13415631+2825565   1.221 M3
2M13415631+2825565   1.218 M3
2M13415729+2823323   1.776 M3
2M13415752+2808309   1.277 M3
2M13415752+2808309   1.265 M3
2M13415752+2808309   1.269 M3
2M13415760+2822350   1.706 M3
2M13415789+2821525   1.922 M3
2M13415789+2821525   1.922 M3
2M13415816+2815518   0.647 M3
2M13415816+2815518   0.648 M3
2M13420057+2821370   0.909 M3
2M13420068+2820588   1.537 M3
2M13420078+2810427   1.925 M3
2M13420078+2810427   1.921 M3
2M13420078+2810427   1.923 M3
2M13420185+2816310   2.082 M3
2M13420185+2816310   2.065 M3
2M13420261+2821197   1.537 M3
2M13420266+2822306   2.000 M3
2M13420282+2824132   2.037 M3
2M13420282+2824132   2.039 M3
2M13420282+2824132   2.041 M3
2M13420386+2814395   1.918 M3
2M13420386+2814395   1.914 M3
2M13420386+2814395   1.897 M3
2M13420388+2825088   0.962 M3
2M13420475+2822052   0.869 M3
2M13420475+2822052   0.866 M3
2M13420673+2820567   0.357 M3
