id            cl    vrad    teff    logg    feh    cfe    nfe    ofe    mgfe    alfe    sife    cafe    tife    pop limit    rah ram ras decd decm decs J    H    K
2M17165967+4301058    M92    -124.3    4942    1.78    -2.29    9999    9999    9999    -0.22    0.97    0.51    0.22    9999    2   0       17 16 59.67 +43 01 05.8     12.947 12.434 12.361 
2M17170043+4305117    M92    -126.5    4806    1.48    -2.12    9999    9999    9999    0.09    0.51    0.30    0.29    9999    2   0       17 17 00.43 +43 05 11.7     12.048 11.545 11.423 
2M17170081+4310251    M92    -119.7    4719    1.27    -2.11    9999    9999    9999    0.14    0.36    0.37    9999    9999    2   0       17 17 00.81 +43 10 25.1     11.571 11.006 10.920 
2M17170394+4302031    M92    -123.4    4970    1.85    -2.27    9999    9999    9999    -0.08    0.89    9999    9999    9999    2   0       17 17 03.94 +43 02 03.1     12.987 12.466 12.409 
2M17170647+4306029    M92    -115.1    4796    1.45    -2.36    9999    9999    9999    0.32    0.74    0.49    0.08    9999    2   0       17 17 06.47 +43 06 02.9     12.457 11.931 11.829 
2M17170807+4310448    M92    -120.7    4677    1.18    -2.13    9999    9999    9999    0.10    0.68    0.45    9999    9999    2   0       17 17 08.07 +43 10 44.8      11.404 10.865 10.740
2M17171221+4302209    M92    -122.6    4992    1.90    -2.28    9999    9999    9999    -0.1    1.04    0.31    9999    9999    2     0       17 17 12.21 +43 02 20.9     12.965 12.453 12.393 
2M17171531+4309465    M92    -122.2    4917    1.72    -2.10    9999    9999    9999    0.16    -0.50    0.29    9999    9999    1   0       17 17 15.31 +43 09 46.5     12.349 11.831 11.756 
2M17171551+4304594    M92    -115.9    4823    1.50    -2.11    9999    9999    9999    0.00    0.18    0.40    9999    9999    2   0       17 17 15.51 +43 04 59.4     12.975 12.480 12.355 
2M17171793+4305439    M92    -115.6    5014    1.97    -2.26    9999    9999    9999    0.21    -0.50    0.26    -0.02    9999    1   0       17 17 17.93 +43 05 43.9     12.982 12.512 12.416 
2M17172157+4307408    M92    -114.0    4868    1.61    -2.37    9999    9999    9999    0.21    1.11    0.66    9999    9999    2   0       17 17 21.57 +43 07 40.8     11.601 11.066 10.994 
2M17172166+4311031    M92    -119.4    4813    1.48    -2.40    9999    9999    9999    0.41    0.67    0.55    9999    0.03    2   0       17 17 21.66 +43 11 03.1     12.623 12.115 12.000 
2M17172268+4308505    M92    -123.7    4830    1.53    -2.36    9999    9999    9999    -0.27    0.89    0.64    9999    9999    2   0       17 17 22.68 +43 08 50.5     13.258 12.777 12.640 
2M17172331+4256556    M92    -120.2    4963    1.84    -2.26    9999    9999    9999    0.05    0.76    0.41    0.45    9999    2   0       17 17 23.31 +42 56 55.6      13.259 12.786 12.679
2M17180472+4310162    M92    -121.6    4992    1.90    -2.19    9999    9999    9999    0.20    0.35    0.36    9999    9999    2    0       17 18 04.72 +43 10 16.2     13.345 12.953 12.773 
2M17163748+4306155    M92    -118.0    4381    0.57    -2.16    -0.37    0.90    0.20    -0.19    0.72    0.56    0.15    0.02    2    1       17 16 37.48 +43 06 15.5      9.885 9.228 9.123     
2M17165557+4309277    M92    -122.3    4468    0.72    -2.15    -0.33    1.04    0.65    0.28    -0.26    0.31    0.08    9999    1    1       17 16 55.57 +43 09 27.7      10.411 9.819 9.679 
