"star" "Apogee_id" "teff" "terr_err" "logg" "logg_err" "feh" "feh_err"
"77" "k03853" "2M19095228+3757599" 4939 36 3.66 0.09 -0.1 0.02
"78" "k02771" "2M19295951+4919443" 6258 60 4.53 0.1 -0.04 0.04
"79" "k01616" "2M19180152+4522155" 6177 38 4.53 0.06 0.26 0.03
"80" "k04407" "2M20043757+4422463" 6436 176 4.19 0.19 -0.25 0.07
"81" "k03497" "2M19170588+4428129" 4829 50 4.51 0.08 -0.02 0.02
"82" "k00282" "2M19134816+4014431" 5929 36 4.37 0.09 -0.18 0.02
"83" "k00988" "2M19252754+3736330" 5100 46 4.61 0.09 0.05 0.02
"84" "k03237" "2M19011934+4202255" 5819 35 4.55 0.04 0.19 0.03
"85" "k03876" "2M19214575+3831248" 5903 61 4.97 0.03 0 0.03
"86" "k03218" "2M18552435+4714371" 6030 42 4.47 0.1 0.04 0.03
"87" "k00623" "2M19405434+5033323" 6034 58 4.28 0.17 -0.43 0.04
"88" "k00687" "2M19482810+4342411" 5896 40 4.37 0.09 0.02 0.02
"89" "k00295" "2M18585736+4935542" 6055 44 4.64 0.11 -0.11 0.03
"90" "k01442" "2M19040872+4936522" 5535 32 4.39 0.06 0.41 0.03
"91" "k00002" "2M19285935+4758102" 6384 77 3.9 0.13 0.13 0.03
"92" "k00490" "2M19303802+3820434" 4958 42 4.61 0.08 -0.05 0.02
"93" "k00166" "2M19240524+3746112" 5269 42 4.67 0.06 -0.22 0.02
"94" "k00271" "2M19004559+4601406" 6244 50 4.4 0.11 0.27 0.03
"95" "k01738" "2M19265960+3926487" 5317 46 4.53 0.07 0.24 0.02
"96" "k01283" "2M19440169+4451123" 5781 42 4.07 0.07 -0.3 0.03
"97" "k02079" "2M19395491+4600203" 5459 36 4.39 0.11 0.4 0.03
"98" "k03248" "2M19215162+4819560" 5755 25 4.34 0.02 -0.03 0.02
"99" "k04657" "2M19331027+4159513" 5386 29 4.54 0.04 0.02 0.02
"100" "k00197" "2M19231995+3811036" 5080 71 4.43 0.17 0.04 0.04
"101" "k02754" "2M18545899+4822242" 5884 35 4.4 0.11 -0.12 0.03
"102" "k02503" "2M19373385+4445466" 4939 53 4.4 0.18 0.11 0.02
"103" "k00373" "2M19285638+4254340" 5788 36 4.46 0.06 -0.36 0.02
"104" "k02281" "2M19323146+4539487" 5014 35 4.49 0.07 0.15 0.02
"105" "k00369" "2M18473976+4246318" 6188 76 4.37 0.17 -0.24 0.05
"106" "k00281" "2M19103720+3914394" 5606 51 3.93 0.16 -0.42 0.03
"107" "k02832" "2M18541567+4654153" 5058 32 4.5 0.06 0.07 0.02
"108" "k00374" "2M19223006+4452262" 5860 38 4.18 0.1 -0.2 0.02
"109" "k00316" "2M18493406+4353216" 5619 29 4.44 0.09 0.36 0.02
"110" "k00265" "2M19480452+5024323" 6113 20 4.43 0.05 0.16 0.02
"111" "k00274" "2M18495813+4358487" 6094 28 4 0.03 -0.12 0.01
"112" "k03117" "2M19282922+4155373" 5554 33 4.56 0.05 0.12 0.02
"113" "k03681" "2M19303059+3751364" 6203 85 4.4 0.15 0.06 0.06
"114" "k01796" "2M19393986+4656419" 6032 41 4.39 0.11 0 0.03
"115" "k01128" "2M19254399+4142123" 5413 29 4.56 0.06 -0.01 0.02
"116" "k01618" "2M19441136+4244348" 6285 127 4.26 0.14 0.01 0.06
"117" "k00275" "2M19011470+4750549" 5900 25 4.14 0.07 0.29 0.02
"118" "k00288" "2M19345194+4613358" 6214 70 4.16 0.15 0.13 0.04
"119" "k01819" "2M19411515+4614149" 5443 39 4.54 0.09 0.02 0.02
"120" "k02712" "2M19505934+4841395" 6304 162 4.13 0.19 -0.15 0.07
"121" "k00561" "2M18480110+4210355" 5098 46 4.52 0.08 -0.12 0.02
"122" "k01938" "2M19304141+4622387" 5323 43 4.57 0.08 -0.21 0.02
"123" "k00312" "2M19455215+4235555" 6194 90 4.25 0.17 -0.07 0.06
"124" "k02593" "2M18472048+4409213" 6176 45 4.37 0.08 0.11 0.02
"125" "k00075" "2M19255933+4243425" 5951 25 3.71 0.04 -0.14 0.01
"126" "k04053" "2M19234063+3717138" 6044 41 4.51 0.08 -0.11 0.03
"127" "k02119" "2M19241198+3908300" 5073 43 4.53 0.07 0.11 0.02
"128" "k00137" "2M19521906+4444467" 5410 25 4.4 0.07 0.25 0.01
"129" "k02498" "2M19263090+4112309" 5230 43 4.59 0.08 -0.09 0.02
"130" "k00385" "2M19285162+3832549" 5478 32 4.48 0.07 0.12 0.02
"131" "k00870" "2M19283288+4225459" 5117 79 4.11 0.22 -0.17 0.04
"132" "k01221" "2M19202572+3842080" 4907 33 3.49 0.07 0.21 0.02
"133" "k02848" "2M19223938+4329594" 5760 29 4.3 0.1 0.34 0.02
"134" "k00440" "2M19211116+3744581" 5034 56 4.44 0.13 0.13 0.02
"135" "k01623" "2M19033745+4917150" 5790 35 4.17 0.05 0.02 0.03
"136" "k00122" "2M18575579+4423529" 5693 15 4.23 0.06 0.25 0.01
"137" "k04409" "2M19580834+4028399" 6002 30 4.43 0.07 0.26 0.02
"138" "k02462" "2M19555801+4008327" 6078 42 4.12 0.06 0.06 0.03
"139" "k01824" "2M19253173+3807388" 6066 47 4.38 0.14 -0.11 0.03
"140" "k00297" "2M19045932+5014326" 6280 61 4.48 0.08 0.12 0.03
"141" "k00279" "2M19415676+5100486" 6340 162 4.34 0.24 -0.02 0.06
"142" "k02717" "2M19312934+4605559" 6128 41 4.32 0.09 0.02 0.02
"143" "k03194" "2M19063085+5028165" 6361 76 4.07 0.12 0.13 0.04
"144" "k00118" "2M19092707+3838585" 5867 31 4.34 0.09 0.12 0.02
"145" "k03202" "2M19260173+3919251" 5302 33 3.89 0.08 -0.01 0.02
"146" "k00006" "2M19382388+3822003" 6311 106 4.26 0.11 -0.14 0.05
"147" "k00094" "2M19491993+4153280" 6267 36 4.29 0.08 0.06 0.02
"148" "k00285" "2M19162065+4133465" 5996 42 4.13 0.06 0.14 0.02
"149" "k02694" "2M19431714+4603109" 4773 86 4.51 0.11 0.21 0.03
"150" "k02149" "2M19510878+4753100" 6250 84 4.32 0.11 0.13 0.04
"151" "k00700" "2M19395364+4512492" 5764 42 4.46 0.09 -0.44 0.03
"152" "k03097" "2M18442696+4313400" 5934 42 4.03 0.07 -0.1 0.03
"153" "k02339" "2M19264062+4235265" 4954 67 4.67 0.14 0.09 0.02
"154" "k01835" "2M19371813+4600081" 5099 43 4.63 0.07 0.14 0.02
"155" "k00007" "2M19022767+5008087" 5852 20 4.19 0.06 0.15 0.01
"156" "k01218" "2M19240457+3832440" 5707 22 4.54 0.03 0.05 0.02
"157" "k00108" "2M19155629+4003522" 5962 15 4.21 0.04 0.12 0.01
"158" "k03456" "2M19280049+4147130" 5666 40 4.64 0.07 -0.26 0.02
"159" "k00624" "2M19224155+3841276" 5706 36 4.65 0.1 0.12 0.02
"160" "k01715" "2M19370654+4640310" 5827 41 4.18 0.11 -0.23 0.03
"161" "k04160" "2M19310830+4312575" 5815 26 4.55 0.05 0.26 0.02
"162" "k03908" "2M19582001+4726531" 5911 38 4.23 0.11 0.12 0.02
"163" "k03358" "2M19273337+3921423" 5349 36 4.49 0.07 -0.14 0.02
"164" "k01537" "2M18455079+4647235" 6198 70 3.98 0.1 -0.26 0.03
"165" "k04659" "2M19300352+3801194" 5618 43 4.5 0.04 -0.01 0.03
"166" "k00308" "2M19354313+4136103" 6207 111 4.32 0.22 -0.21 0.07
"167" "k02273" "2M19393877+4629292" 6046 41 4.41 0.11 0.23 0.02
"168" "k03195" "2M18442949+4709536" 6094 77 3.85 0.1 -0.36 0.03
"169" "k00277" "2M19250004+4913545" 6068 26 4.07 0.05 -0.26 0.02
"170" "k02970" "2M19301866+4040042" 6200 65 4.36 0.16 -0.06 0.04
"171" "k03180" "2M19021130+3903478" 6179 70 3.81 0.14 0.09 0.03
"172" "k03052" "2M19402166+4504522" 5413 36 4.6 0.09 -0.13 0.02
"173" "k01316" "2M19221257+4807345" 5917 25 4.17 0.08 0.31 0.02
"174" "k03382" "2M18444325+4655476" 5469 44 4.56 0.08 0.23 0.03
"175" "k02632" "2M18574145+4906224" 6285 120 3.99 0.07 -0.17 0.05
"176" "k01886" "2M19583851+4611543" 6182 80 4.22 0.14 -0.23 0.05
"177" "k01116" "2M19233232+3803272" 5802 38 4.46 0.1 0.11 0.02
"178" "k01862" "2M19322256+4253471" 5612 22 4.36 0.06 0.26 0.02
"179" "k02749" "2M19240068+4453580" 6209 91 4.04 0.12 -0.16 0.06
"180" "k01930" "2M18515494+4047036" 5984 42 4.11 0.1 -0.04 0.03
"181" "k05782" "2M19252710+4719433" 5122 36 3.72 0.09 0.14 0.02
"182" "k01621" "2M19542140+4045024" 6187 45 4.16 0.11 0 0.03
"183" "k00370" "2M19253306+4431447" 6145 50 4.13 0.12 -0.02 0.03
"184" "k02968" "2M19061924+4509497" 6232 81 3.93 0.14 -0.23 0.05
"185" "k02342" "2M19345420+4714493" 5974 52 4.26 0.14 -0.42 0.04
"186" "k00672" "2M19244068+4238269" 5547 26 4.49 0.07 0.13 0.02
"187" "k00981" "2M18545673+4442479" 5106 11 3.36 0.06 -0.22 0.01
"188" "k04421" "2M19362997+4640224" 6118 45 4.22 0.11 0.14 0.03
"189" "k04318" "2M19354519+4543084" 6345 210 4.14 0.3 -0.46 0.11
"190" "k00664" "2M19263232+4150019" 5779 32 4.47 0.1 0.07 0.02
"191" "k00567" "2M19274845+4304289" 5509 40 4.4 0.11 -0.16 0.02
"192" "k00993" "2M19225488+3715095" 5611 49 4.42 0.12 -0.33 0.03
"193" "k02545" "2M18582249+4626591" 6046 55 3.78 0.15 0.03 0.04
"194" "k04159" "2M19290877+4204208" 5263 63 4.6 0.1 0.19 0.03
"195" "k01944" "2M19211888+3743232" 5700 30 4.54 0.06 0.03 0.02
"196" "k00464" "2M19345930+4506259" 5444 57 4.52 0.1 0.22 0.03
"197" "k00301" "2M19215883+3847437" 6260 55 4.39 0.11 -0.02 0.03
"198" "k00986" "2M19274223+3800508" 5496 29 4.55 0.04 0.25 0.02
"199" "k00655" "2M19343024+4116221" 6176 45 4.3 0.13 -0.04 0.02
"200" "k01282" "2M19325518+4503119" 6208 77 4.23 0.14 -0.12 0.05
"201" "k01270" "2M19343390+4439253" 5252 60 4.52 0.06 0.06 0.03
"202" "k04850" "2M19371998+4215508" 5603 26 4.36 0.05 0.08 0.02
"203" "k01279" "2M19332934+4447064" 5763 26 4.38 0.08 -0.01 0.02
"204" "k00289" "2M18514696+4734295" 5905 30 4.05 0.06 -0.43 0.02
"205" "k00711" "2M19413907+4615592" 5590 29 4.52 0.02 0.42 0.03
"206" "k00319" "2M19202820+4452225" 5944 40 3.99 0.04 0.14 0.03
"207" "k02009" "2M19310575+3747517" 5676 26 4.27 0.08 -0.26 0.02
"208" "k00444" "2M19220706+3856335" 5711 31 4.42 0.14 -0.07 0.02
"209" "k00555" "2M19322962+4056051" 5351 39 4.49 0.09 0.07 0.02
"210" "k04581" "2M19222593+3748068" 5924 42 4.46 0.1 0.06 0.02
"211" "k02332" "2M19290059+4047337" 5305 29 4.03 0.07 -0.06 0.02
"212" "k02913" "2M18503152+4628519" 5803 47 4.44 0.14 0.37 0.03
"213" "k01860" "2M19261367+3913382" 5761 44 4.45 0.13 0.11 0.03
"214" "k05689" "2M19404343+4610458" 4879 63 4.42 0.18 0.02 0.02
"215" "k00049" "2M19285977+4609535" 5858 41 4.4 0.12 -0.08 0.03
"216" "k02053" "2M19294105+3740581" 6204 50 4.32 0.09 0.05 0.03
"217" "k00165" "2M19295686+4611463" 5215 32 4.45 0.08 -0.27 0.02
"218" "k00022" "2M18503111+4619240" 5964 25 4.39 0.11 0.22 0.02
"219" "k04580" "2M19332971+4443407" 5948 42 4.15 0.09 -0.24 0.02
"220" "k02559" "2M19262561+4202093" 5852 36 4.52 0.06 0.13 0.03
"221" "k00172" "2M19330262+4452080" 5784 36 4.37 0.11 -0.22 0.02
"222" "k00371" "2M19584227+4051233" 5171 40 3.68 0.1 0.08 0.03
"223" "k01861" "2M19283987+3844205" 6041 50 4.62 0.06 -0.02 0.04
"224" "k00307" "2M19324327+4137039" 6090 47 4.52 0.07 -0.07 0.04
"225" "k00399" "2M19355185+4250141" 6175 57 4.44 0.14 -0.01 0.03
"226" "k02603" "2M19254980+3744345" 6182 98 4.02 0.11 -0.34 0.05
"227" "k00999" "2M19295274+3734040" 5263 72 4.5 0.13 -0.1 0.04
"228" "k03240" "2M19292281+4135071" 6097 41 3.84 0.1 0.22 0.03
"229" "k04103" "2M19264243+3852296" 5450 76 4.59 0.17 -0.06 0.05
"230" "k03278" "2M19260597+3827210" 5424 42 4.49 0.09 0.19 0.02
"231" "k00442" "2M19242333+3852321" 5885 26 4.43 0.08 0.01 0.02
"232" "k00671" "2M19353364+4231408" 6181 45 4.4 0.12 0.07 0.03
"233" "k03122" "2M19420921+5112106" 6518 113 4.51 0.13 0.27 0.05
"234" "k01344" "2M18592643+3914259" 6041 68 4.07 0.12 -0.33 0.04
"235" "k01240" "2M19253372+4210501" 5623 50 4.54 0.09 0.16 0.02
"236" "k01955" "2M19304273+4643361" 6354 113 4.59 0.14 0.03 0.05
"237" "k02479" "2M19313247+4116452" 5361 29 3.97 0.08 0.02 0.02
"238" "k01222" "2M19295923+3911354" 5071 36 3.63 0.09 0.08 0.02
"239" "k00659" "2M19294013+4125007" 6628 117 4.98 0.01 -0.03 0.06
"240" "k02194" "2M19291835+3839273" 5785 44 4.24 0.09 -0.22 0.03
"241" "k01806" "2M19325125+4610304" 6286 76 4.39 0.2 -0.05 0.05
"242" "k00511" "2M19383520+4153027" 6060 62 4.64 0.1 0.14 0.04
"243" "k02838" "2M19284793+4202459" 5744 26 4.1 0.03 0.17 0.02
"244" "k01299" "2M19330772+4817092" 5011 32 3.41 0.09 0.04 0.02
"245" "k00662" "2M19284485+4143373" 5942 36 4.1 0.06 0.03 0.02
"246" "k01113" "2M19275428+3803182" 6176 45 4.41 0.11 0.05 0.03
"247" "k00869" "2M19263335+4226107" 5116 77 4.85 0.17 0.09 0.03
"248" "k02043" "2M19302107+3831193" 5902 42 4.37 0.12 0.04 0.03
"249" "k03867" "2M19441297+4549373" 5580 50 4.55 0.11 0.15 0.03
"250" "k02571" "2M19323288+4221017" 5403 71 4.72 0.16 0.15 0.04
"251" "k02390" "2M19485179+4722426" 6054 47 4.09 0.11 0.06 0.03
"252" "k03503" "2M19323620+4143452" 6180 57 4.4 0.13 -0.43 0.03
"253" "k04298" "2M19261042+3802555" 6187 76 4.11 0.15 -0.4 0.05
"254" "k00880" "2M19312961+4257580" 5529 71 4.7 0.14 0.27 0.04
"255" "k00388" "2M18584965+3856126" 5885 40 4.17 0.11 0.1 0.02
"256" "k01242" "2M19285481+4202073" 6255 63 4.41 0.11 0.02 0.02
"257" "k01241" "2M19350200+4152187" 4855 47 3.14 0.1 0.27 0.03
"258" "k04744" "2M19324184+4057029" 5817 36 4.31 0.07 0.32 0.03
"259" "k01117" "2M19240766+3812430" 6356 205 3.78 0.26 -0.29 0.07
"260" "k01118" "2M19263623+3801414" 6085 42 4.16 0.1 -0.02 0.02
"261" "k03680" "2M19330757+4518348" 5755 82 4.47 0.13 0.23 0.06
"262" "k02278" "2M19262571+3824374" 5915 47 4.12 0.07 -0.08 0.03
"263" "k01960" "2M19275056+4225588" 5847 36 4.24 0.1 0.19 0.02
"264" "k00415" "2M19331345+4136229" 5734 38 4.23 0.04 -0.18 0.03
"265" "k02022" "2M19344235+4436560" 5882 49 4.66 0.13 0.14 0.03
"266" "k01001" "2M19281070+3722344" 6201 75 3.9 0.19 -0.05 0.05
"267" "k02012" "2M19412225+4636081" 5729 53 4.61 0.09 0.09 0.04
"268" "k04212" "2M19284912+3713163" 6213 63 4.48 0.07 0.12 0.02
"269" "k01850" "2M19382712+4503366" 5944 36 4.3 0.13 0.02 0.02
"270" "k00670" "2M19271763+4230583" 5682 29 4.26 0.06 0.22 0.01
"271" "k04302" "2M19344350+4136431" 6126 60 4.02 0.13 -0.19 0.04
"272" "k02049" "2M19281065+4619444" 5982 35 4.22 0.08 0.06 0.02
"273" "k02641" "2M19395900+4507104" 5870 44 4.24 0.15 0.01 0.03
"274" "k03277" "2M19294147+3815587" 6139 61 4.12 0.11 -0.02 0.03
"275" "k01970" "2M19295991+4619278" 5601 50 4.65 0.09 0.15 0.03
"276" "k01239" "2M19284286+4200212" 5904 55 4.59 0.11 0.03 0.03
"277" "k04156" "2M19331638+4107000" 5947 41 4.19 0.13 0.3 0.03
"278" "k04887" "2M19290373+3907474" 6001 49 4.01 0.06 0.05 0.03
"279" "k01002" "2M19224373+3721184" 5449 33 4.51 0.07 0.11 0.02
"280" "k00939" "2M19301930+4605506" 5595 54 4.45 0.14 0.29 0.04
"281" "k05018" "2M19295157+3854267" 5559 78 4.59 0.14 0.42 0.04
"282" "k02677" "2M19390184+4649520" 6055 70 3.95 0.1 -0.05 0.04
"283" "k04385" "2M19253585+3847159" 5167 77 4.49 0.12 0.24 0.04
"284" "k04269" "2M19351124+4509386" 4988 33 3.59 0.06 0.06 0.02
"285" "k02943" "2M19391944+4639345" 5856 36 4.21 0.08 0.38 0.02
"286" "k02048" "2M19321391+4514557" 5201 54 4.54 0.08 0.12 0.03
"287" "k02807" "2M19215521+3808120" 6390 155 4.56 0.17 -0.2 0.07
"288" "k01271" "2M19370371+4447394" 6220 101 4.06 0.13 -0.44 0.06
"289" "k01032" "2M19275461+3731571" 5092 79 3.89 0.22 0.07 0.04
"290" "k01359" "2M19240496+4227447" 5892 44 4.52 0.07 -0.08 0.03
"291" "k05613" "2M19391866+4528118" 5846 132 4.83 0.23 0.34 0.07
"292" "k01115" "2M19254165+3812597" 5705 22 4.17 0.06 0.15 0.01
"293" "k03128" "2M19295514+4313372" 6133 57 3.76 0.13 -0.17 0.03
"294" "k04575" "2M19314474+4645108" 6252 91 4.05 0.09 -0.03 0.04
"295" "k05057" "2M19012239+3924498" 5085 40 3.49 0.09 0.03 0.03
"296" "k01102" "2M19213918+3820375" 5963 247 4.08 0.29 -0.2 0.1
"297" "k02183" "2M19284107+4054587" 5649 47 4.31 0.15 0.14 0.03
"298" "k01962" "2M18565615+4047403" 5975 42 4.13 0.11 -0.06 0.03
"299" "k05702" "2M19424675+4619095" 5799 47 4.64 0.09 0.03 0.03
"300" "k02167" "2M19262507+4118336" 5758 41 4.56 0.06 0.11 0.03
"301" "k00708" "2M19345473+4607449" 6148 57 4.28 0.14 -0.16 0.03
"302" "k02335" "2M19264789+3808429" 5554 36 4.37 0.11 -0.01 0.02
"303" "k01958" "2M19355557+4641158" 5929 61 4.63 0.1 0.11 0.04
"304" "k01792" "2M19155319+4437283" 5461 51 4.13 0.08 0.08 0.03
"305" "k00379" "2M19281362+3746342" 6150 63 4.05 0.06 0.09 0.03
"306" "k04640" "2M19404209+4555512" 6367 155 4.2 0.19 -0.26 0.06
"307" "k00119" "2M19381420+4603443" 5730 31 3.93 0.11 0.39 0.02
"308" "k02081" "2M19265500+3804120" 5079 43 3.66 0.04 0.14 0.02
"309" "k02220" "2M19363310+4222138" 5864 41 4.41 0.08 0.25 0.02
"310" "k01915" "2M19441543+4525430" 6139 47 4.31 0.18 0.32 0.03
"311" "k01230" "2M19554755+4148437" 5160 36 3.37 0.18 -0.08 0.02
"312" "k01196" "2M19314146+3828382" 5708 42 4.34 0.12 -0.18 0.02
"313" "k02786" "2M19295471+4601222" 6305 113 4.12 0.09 -0.28 0.05
"314" "k03913" "2M19382700+4720357" 6082 58 4.59 0.14 0.26 0.04
"315" "k01335" "2M19240483+3913144" 6325 125 4.2 0.21 -0.13 0.07
"316" "k01922" "2M19382727+4559046" 5806 47 4.49 0.09 0.11 0.03
"317" "k00680" "2M19290895+4311502" 6271 75 3.97 0.12 0.02 0.04
"318" "k02252" "2M19285614+4134307" 6235 55 4.17 0.09 0.01 0.04
"319" "k02564" "2M19341774+4523043" 6158 120 4.12 0.19 -0.29 0.06
"320" "k03244" "2M19110390+4219217" 5003 29 3.13 0.09 -0.07 0.02
"321" "k02093" "2M19314900+4156052" 6105 65 4.7 0.1 0.08 0.05
"322" "k00564" "2M19370743+4217274" 5974 55 4.29 0.13 0.32 0.04
"323" "k05119" "2M19510919+4007512" 5082 33 3.35 0.11 0.07 0.02
"324" "k01739" "2M19263602+4242028" 5824 81 4.33 0.2 0.05 0.06
"325" "k03780" "2M19253282+4215378" 6396 155 4.14 0.21 -0.33 0.06
"326" "k00935" "2M19360552+4551110" 6043 247 4.34 0.31 -0.21 0.11
"327" "k01054" "2M19144381+4118263" 5338 44 2.51 0.06 -0.98 0.03
"328" "k03890" "2M19350531+4438185" 4796 36 3.06 0.08 -0.22 0.03
"329" "k01890" "2M19321907+4304253" 6225 63 4.28 0.1 0.13 0.03
"330" "k01356" "2M19282877+4255540" 5848 63 4.26 0.15 0.18 0.04
"331" "k04273" "2M19365036+4628479" 6190 63 4.07 0.09 0.07 0.03
"332" "k00113" "2M19290569+3740176" 5626 29 4.28 0.09 0.39 0.02
"333" "k02287" "2M19394766+4626191" 4908 46 4.57 0.11 -0.02 0.02
