"star" "Apogee_id" "teff" "terr_err" "logg" "logg_err" "feh" "feh_err"
"334" "k02657" "2M19310282+4543380" 5510 36 4.52 0.07 -0.17 0.03
"335" "k00042" "2M18523616+4508233" 6552 120 4.58 0.08 0.03 0.05
"336" "k03214" "2M19544170+4347437" 5997 35 4.04 0.04 -0.07 0.03
"337" "k00156" "2M19362914+4820582" 4887 46 4.44 0.22 -0.04 0.02
"338" "k03886" "2M20041135+4505154" 4694 62 2.67 0.18 0.06 0.03
"339" "k02033" "2M19265799+3741202" 5186 39 4.5 0.05 -0.1 0.02
"340" "k01619" "2M19395765+3920469" 4934 46 4.51 0.07 -0.31 0.02
"341" "k03208" "2M19464330+4710231" 5956 41 4.56 0.08 -0.07 0.03
"342" "k00270" "2M19345587+4154030" 5701 29 4.26 0.08 -0.18 0.02
"343" "k00087" "2M19165219+4753040" 5592 15 4.53 0.04 -0.26 0.01
