;
; APOGEE Detector Map
; -------------------
;
; Derived from File: 400mm FINAL 12-9-08 tol with JCW tol rectangular footprint - optimized at 110K - tol TI3 GJF - john addns.ZMX
; Calculated FRI MAY 29 2009
;
; x (spatial), y (spectral) are spot centroid positions in the focal plane
; positions are relative to the zemax origin at the focal plane
; rms is rms spot radius relative to centroid
;
; Field 1: Top Fiber
; Field 2:
; Field 3: Middle Fiber
; Field 4:
; Field 5: Bottom Fiber
;
; Number of Detectors = 3
; Detector Active Area = 2040 pix
; Detector Pixel Size = 18 micron
; Min Gap between adjacent detector active areas = 2.788 mm
; (May be slightly different for UA mount, but this number is close)
; We desire 10 pix (0.18 micron) engineering slop between edge of detector
; and start of coverage on extreme blue and extreme red edges of wavelength coverage
;
; Blue Wavelengths
; Wavelength (um), Field, x (mm), y (mm), rms (mm)
1.5190, 1.0000, -17.9925, 29.6630, 0.0064
1.5190, 2.0000, -8.9931, 29.6438, 0.0048
1.5190, 3.0000, -0.0000, 29.6373, 0.0044
1.5190, 4.0000, 8.9931, 29.6438, 0.0048
1.5190, 5.0000, 17.9925, 29.6630, 0.0064
1.5200, 1.0000, -17.9922, 29.1389, 0.0062
1.5200, 2.0000, -8.9930, 29.1198, 0.0047
1.5200, 3.0000, -0.0000, 29.1134, 0.0044
1.5200, 4.0000, 8.9930, 29.1198, 0.0047
1.5200, 5.0000, 17.9922, 29.1389, 0.0062
1.5210, 1.0000, -17.9918, 28.6140, 0.0061
1.5210, 2.0000, -8.9928, 28.5950, 0.0047
1.5210, 3.0000, -0.0000, 28.5886, 0.0044
1.5210, 4.0000, 8.9928, 28.5950, 0.0047
1.5210, 5.0000, 17.9918, 28.6140, 0.0061
1.5220, 1.0000, -17.9915, 28.0882, 0.0060
1.5220, 2.0000, -8.9926, 28.0694, 0.0046
1.5220, 3.0000, -0.0000, 28.0631, 0.0043
1.5220, 4.0000, 8.9926, 28.0694, 0.0046
1.5220, 5.0000, 17.9915, 28.0882, 0.0060
1.5230, 1.0000, -17.9911, 27.5617, 0.0059
1.5230, 2.0000, -8.9924, 27.5429, 0.0046
1.5230, 3.0000, -0.0000, 27.5366, 0.0044
1.5230, 4.0000, 8.9924, 27.5429, 0.0046
1.5230, 5.0000, 17.9911, 27.5617, 0.0059
1.5240, 1.0000, -17.9908, 27.0342, 0.0058
1.5240, 2.0000, -8.9923, 27.0156, 0.0045
1.5240, 3.0000, -0.0000, 27.0094, 0.0044
1.5240, 4.0000, 8.9923, 27.0156, 0.0045
1.5240, 5.0000, 17.9908, 27.0342, 0.0058
1.5250, 1.0000, -17.9905, 26.5059, 0.0057
1.5250, 2.0000, -8.9921, 26.4875, 0.0045
1.5250, 3.0000, -0.0000, 26.4813, 0.0044
1.5250, 4.0000, 8.9921, 26.4875, 0.0045
1.5250, 5.0000, 17.9905, 26.5059, 0.0057
1.5260, 1.0000, -17.9902, 25.9768, 0.0056
1.5260, 2.0000, -8.9920, 25.9585, 0.0045
1.5260, 3.0000, -0.0000, 25.9523, 0.0044
1.5260, 4.0000, 8.9920, 25.9585, 0.0045
1.5260, 5.0000, 17.9902, 25.9768, 0.0056
1.5270, 1.0000, -17.9899, 25.4468, 0.0055
1.5270, 2.0000, -8.9918, 25.4286, 0.0045
1.5270, 3.0000, -0.0000, 25.4225, 0.0045
1.5270, 4.0000, 8.9918, 25.4286, 0.0045
1.5270, 5.0000, 17.9899, 25.4468, 0.0055
1.5280, 1.0000, -17.9896, 24.9159, 0.0055
1.5280, 2.0000, -8.9917, 24.8979, 0.0045
1.5280, 3.0000, -0.0000, 24.8918, 0.0045
1.5280, 4.0000, 8.9917, 24.8979, 0.0045
1.5280, 5.0000, 17.9896, 24.9159, 0.0055
1.5290, 1.0000, -17.9893, 24.3842, 0.0054
1.5290, 2.0000, -8.9916, 24.3663, 0.0046
1.5290, 3.0000, -0.0000, 24.3603, 0.0045
1.5290, 4.0000, 8.9916, 24.3663, 0.0046
1.5290, 5.0000, 17.9893, 24.3842, 0.0054
1.5300, 1.0000, -17.9890, 23.8516, 0.0054
1.5300, 2.0000, -8.9914, 23.8338, 0.0046
1.5300, 3.0000, -0.0000, 23.8278, 0.0046
1.5300, 4.0000, 8.9914, 23.8338, 0.0046
1.5300, 5.0000, 17.9890, 23.8516, 0.0054
1.5310, 1.0000, -17.9888, 23.3181, 0.0053
1.5310, 2.0000, -8.9913, 23.3005, 0.0046
1.5310, 3.0000, -0.0000, 23.2945, 0.0046
1.5310, 4.0000, 8.9913, 23.3005, 0.0046
1.5310, 5.0000, 17.9888, 23.3181, 0.0053
1.5320, 1.0000, -17.9885, 22.7837, 0.0053
1.5320, 2.0000, -8.9912, 22.7662, 0.0046
1.5320, 3.0000, -0.0000, 22.7603, 0.0047
1.5320, 4.0000, 8.9912, 22.7662, 0.0046
1.5320, 5.0000, 17.9885, 22.7837, 0.0053
1.5330, 1.0000, -17.9883, 22.2485, 0.0053
1.5330, 2.0000, -8.9911, 22.2311, 0.0047
1.5330, 3.0000, -0.0000, 22.2253, 0.0047
1.5330, 4.0000, 8.9911, 22.2311, 0.0047
1.5330, 5.0000, 17.9883, 22.2485, 0.0053
1.5340, 1.0000, -17.9881, 21.7123, 0.0052
1.5340, 2.0000, -8.9910, 21.6951, 0.0047
1.5340, 3.0000, -0.0000, 21.6893, 0.0048
1.5340, 4.0000, 8.9910, 21.6951, 0.0047
1.5340, 5.0000, 17.9881, 21.7123, 0.0052
1.5350, 1.0000, -17.9879, 21.1753, 0.0052
1.5350, 2.0000, -8.9909, 21.1582, 0.0047
1.5350, 3.0000, -0.0000, 21.1524, 0.0048
1.5350, 4.0000, 8.9909, 21.1582, 0.0047
1.5350, 5.0000, 17.9879, 21.1753, 0.0052
1.5360, 1.0000, -17.9877, 20.6373, 0.0052
1.5360, 2.0000, -8.9908, 20.6204, 0.0048
1.5360, 3.0000, 0.0000, 20.6146, 0.0049
1.5360, 4.0000, 8.9908, 20.6204, 0.0048
1.5360, 5.0000, 17.9877, 20.6373, 0.0052
1.5370, 1.0000, -17.9875, 20.0984, 0.0052
1.5370, 2.0000, -8.9907, 20.0816, 0.0048
1.5370, 3.0000, 0.0000, 20.0759, 0.0049
1.5370, 4.0000, 8.9907, 20.0816, 0.0048
1.5370, 5.0000, 17.9875, 20.0984, 0.0052
1.5380, 1.0000, -17.9873, 19.5587, 0.0052
1.5380, 2.0000, -8.9906, 19.5420, 0.0048
1.5380, 3.0000, 0.0000, 19.5363, 0.0050
1.5380, 4.0000, 8.9906, 19.5420, 0.0048
1.5380, 5.0000, 17.9873, 19.5587, 0.0052
1.5390, 1.0000, -17.9871, 19.0179, 0.0052
1.5390, 2.0000, -8.9905, 19.0014, 0.0048
