# Wavelength Field x y rms
1.6490 2.0000 -9.0303 -47.9147 0.0061
1.6490 3.0000 0.0000 -47.9123 0.0057
1.6490 4.0000 9.0303 -47.9147 0.0061
1.6490 5.0000 18.0672 -47.9224 0.0076
1.6500 1.0000 -18.0692 -48.6229 0.0077
1.6500 2.0000 -9.0313 -48.6148 0.0062
1.6500 3.0000 0.0000 -48.6123 0.0058
1.6500 4.0000 9.0313 -48.6148 0.0062
1.6500 5.0000 18.0692 -48.6229 0.0077
1.6510 1.0000 -18.0712 -49.3257 0.0078
1.6510 2.0000 -9.0323 -49.3172 0.0063
1.6510 3.0000 0.0000 -49.3145 0.0059
1.6510 4.0000 9.0323 -49.3172 0.0063
1.6510 5.0000 18.0712 -49.3257 0.0078
1.6520 1.0000 -18.0733 -50.0309 0.0079
1.6520 2.0000 -9.0333 -50.0220 0.0064
1.6520 3.0000 0.0000 -50.0191 0.0059
1.6520 4.0000 9.0333 -50.0220 0.0064
1.6520 5.0000 18.0733 -50.0309 0.0079
1.6530 1.0000 -18.0754 -50.7384 0.0080
1.6530 2.0000 -9.0344 -50.7290 0.0065
1.6530 3.0000 0.0000 -50.7261 0.0060
1.6530 4.0000 9.0344 -50.7290 0.0065
1.6530 5.0000 18.0754 -50.7384 0.0080
1.6540 1.0000 -18.0775 -51.4483 0.0082
1.6540 2.0000 -9.0354 -51.4385 0.0066
1.6540 3.0000 0.0000 -51.4354 0.0061
1.6540 4.0000 9.0354 -51.4385 0.0066
1.6540 5.0000 18.0775 -51.4483 0.0082
1.6550 1.0000 -18.0797 -52.1605 0.0083
1.6550 2.0000 -9.0365 -52.1503 0.0067
1.6550 3.0000 0.0000 -52.1471 0.0062
1.6550 4.0000 9.0365 -52.1503 0.0067
1.6550 5.0000 18.0797 -52.1605 0.0083
1.6560 1.0000 -18.0819 -52.8753 0.0084
1.6560 2.0000 -9.0376 -52.8646 0.0068
1.6560 3.0000 0.0000 -52.8612 0.0063
1.6560 4.0000 9.0376 -52.8646 0.0068
1.6560 5.0000 18.0819 -52.8753 0.0084
1.6570 1.0000 -18.0842 -53.5924 0.0086
1.6570 2.0000 -9.0387 -53.5814 0.0069
1.6570 3.0000 0.0000 -53.5778 0.0064
1.6570 4.0000 9.0387 -53.5814 0.0069
1.6570 5.0000 18.0842 -53.5924 0.0086
1.6580 1.0000 -18.0864 -54.3121 0.0087
1.6580 2.0000 -9.0399 -54.3006 0.0071
1.6580 3.0000 0.0000 -54.2969 0.0065
1.6580 4.0000 9.0399 -54.3006 0.0071
1.6580 5.0000 18.0864 -54.3121 0.0087
1.6590 1.0000 -18.0888 -55.0343 0.0089
1.6590 2.0000 -9.0410 -55.0223 0.0072
1.6590 3.0000 0.0000 -55.0185 0.0067
1.6590 4.0000 9.0410 -55.0223 0.0072
1.6590 5.0000 18.0888 -55.0343 0.0089
1.6600 1.0000 -18.0911 -55.7591 0.0090
1.6600 2.0000 -9.0422 -55.7466 0.0073
1.6600 3.0000 0.0000 -55.7426 0.0068
1.6600 4.0000 9.0422 -55.7466 0.0073
1.6600 5.0000 18.0911 -55.7591 0.0090
1.6610 1.0000 -18.0935 -56.4864 0.0092
1.6610 2.0000 -9.0434 -56.4735 0.0075
1.6610 3.0000 0.0000 -56.4693 0.0069
1.6610 4.0000 9.0434 -56.4735 0.0075
1.6610 5.0000 18.0935 -56.4864 0.0092
1.6620 1.0000 -18.0960 -57.2164 0.0094
1.6620 2.0000 -9.0446 -57.2030 0.0076
1.6620 3.0000 0.0000 -57.1986 0.0071
1.6620 4.0000 9.0446 -57.2030 0.0076
1.6620 5.0000 18.0960 -57.2164 0.0094
1.6630 1.0000 -18.0985 -57.9490 0.0096
1.6630 2.0000 -9.0458 -57.9351 0.0078
1.6630 3.0000 0.0000 -57.9306 0.0072
1.6630 4.0000 9.0458 -57.9351 0.0078
1.6630 5.0000 18.0985 -57.9490 0.0096
1.6640 1.0000 -18.1010 -58.6843 0.0097
1.6640 2.0000 -9.0471 -58.6699 0.0080
1.6640 3.0000 0.0000 -58.6652 0.0074
1.6640 4.0000 9.0471 -58.6698 0.0080
1.6640 5.0000 18.1010 -58.6842 0.0097
1.6650 1.0000 -18.1036 -59.4222 0.0099
1.6650 2.0000 -9.0483 -59.4073 0.0081
1.6650 3.0000 0.0000 -59.4025 0.0075
1.6650 4.0000 9.0483 -59.4073 0.0081
1.6650 5.0000 18.1036 -59.4222 0.0099
