15059.6 1301.45 0.01
15073 442.253 0.01
15085.6 6.401 0.01
15092.4 100.915 0.01
15116.1 11.271 0.01
15119.6 12.739 0.01
15191.2 320.481 0.01
15245.1 1142.7 0.01
15291.9 421.471 0.01
15315.1 12.181 0.01
15336.6 1235.86 0.01
15353 25.831 0.01
15380.9 11.823 0.01
15392 8.01 0.01
15399.5 372.815 0.01
15436.4 766.602 0.01
15466.4 34.096 0.01
15478.6 21.365 0.01
15492.8 24.269 0.01
15505.2 107.146 0.01
15514.1 209.74 0.01
15522.1 65.13 0.01
15544.6 367.834 0.01
15550.4 248.692 0.01
15574.4 130.931 0.01
15585.3 6.301 0.01
15601.9 514.309 0.01
15617.5 8.605 0.01
15635.7 318.425 0.01
15645.1 4.984 0.01
15659.3 660.139 0.01
15756.1 4.155 0.01
15764.6 33.75 0.01
15786.2 43.245 0.01
15797.9 4.658 0.01
15807.6 11.934 0.01
15812.8 23.621 0.01
15837.6 1679.74 0.01
15852.4 598.535 0.01
15866.7 15.89 0.01
15873.6 157.992 0.01
15894.2 7.903 0.01
15900.1 20.057 0.01
15903.2 16.57 0.01
15934 6.459 0.01
15939.1 6.981 0.01
15976.9 419.951 0.01
16035.2 1364.31 0.01
16084.2 555.899 0.01
16102 4.863 0.01
16123.1 12.261 0.01
16133 1435.15 0.01
16164 28.819 0.01
16199.1 471.901 0.01
16239.9 1047.03 0.01
16250.4 19.058 0.01
16257.1 8.716 0.01
16274.8 26.249 0.01
16284.1 12.098 0.01
16306.8 46.42 0.01
16312.3 25.213 0.01
16321.5 284.288 0.01
16373.6 3.584 0.01
16377.3 3.458 0.01
16393 298.767 0.01
16413.6 6.084 0.01
16419.2 150.42 0.01
16446.6 553.605 0.01
16452.1 123.054 0.01
16480.2 33.92 0.01
16483.3 188.635 0.01
16506.8 643.859 0.01
16543.6 7.144 0.01
16558.3 249.556 0.01
16590.8 46.592 0.01
16697 1566.79 0.01
16707.1 41.713 0.01
16713.4 557.967 0.01
16723 11.66 0.01
16766.4 21.059 0.01
16770.1 21.178 0.01
16845.1 272.389 0.01
