# Wavelength Field  x y rms
1.6040 1.0000 -18.0064 -18.4354 0.0057
1.6040 2.0000 -9.0002 -18.4410 0.0054
1.6040 3.0000 0.0000 -18.4430 0.0055
1.6040 4.0000 9.0002 -18.4410 0.0054
1.6040 5.0000 18.0064 -18.4354 0.0057
1.6050 1.0000 -18.0073 -19.0532 0.0057
1.6050 2.0000 -9.0006 -19.0586 0.0054
1.6050 3.0000 0.0000 -19.0606 0.0055
1.6050 4.0000 9.0006 -19.0586 0.0054
1.6050 5.0000 18.0073 -19.0532 0.0057
1.6060 1.0000 -18.0081 -19.6726 0.0057
1.6060 2.0000 -9.0011 -19.6778 0.0054
1.6060 3.0000 0.0000 -19.6796 0.0055
1.6060 4.0000 9.0011 -19.6778 0.0054
1.6060 5.0000 18.0081 -19.6726 0.0057
1.6070 1.0000 -18.0090 -20.2934 0.0057
1.6070 2.0000 -9.0015 -20.2984 0.0054
1.6070 3.0000 0.0000 -20.3002 0.0055
1.6070 4.0000 9.0015 -20.2984 0.0054
1.6070 5.0000 18.0090 -20.2934 0.0057
1.6080 1.0000 -18.0099 -20.9158 0.0057
1.6080 2.0000 -9.0020 -20.9205 0.0054
1.6080 3.0000 0.0000 -20.9222 0.0055
1.6080 4.0000 9.0020 -20.9205 0.0054
1.6080 5.0000 18.0099 -20.9158 0.0057
1.6090 1.0000 -18.0109 -21.5397 0.0057
1.6090 2.0000 -9.0024 -21.5442 0.0054
1.6090 3.0000 0.0000 -21.5458 0.0055
1.6090 4.0000 9.0024 -21.5442 0.0054
1.6090 5.0000 18.0109 -21.5397 0.0057
1.6100 1.0000 -18.0118 -22.1651 0.0057
1.6100 2.0000 -9.0029 -22.1694 0.0054
1.6100 3.0000 0.0000 -22.1709 0.0055
1.6100 4.0000 9.0029 -22.1694 0.0054
1.6100 5.0000 18.0118 -22.1651 0.0057
1.6110 1.0000 -18.0128 -22.7921 0.0057
1.6110 2.0000 -9.0034 -22.7961 0.0054
1.6110 3.0000 0.0000 -22.7976 0.0055
1.6110 4.0000 9.0034 -22.7961 0.0054
1.6110 5.0000 18.0128 -22.7921 0.0057
1.6120 1.0000 -18.0138 -23.4206 0.0058
1.6120 2.0000 -9.0039 -23.4244 0.0054
1.6120 3.0000 0.0000 -23.4258 0.0055
1.6120 4.0000 9.0039 -23.4244 0.0054
1.6120 5.0000 18.0138 -23.4206 0.0058
1.6130 1.0000 -18.0148 -24.0508 0.0058
1.6130 2.0000 -9.0044 -24.0543 0.0054
1.6130 3.0000 0.0000 -24.0556 0.0054
1.6130 4.0000 9.0044 -24.0543 0.0054
1.6130 5.0000 18.0148 -24.0508 0.0058
1.6140 1.0000 -18.0158 -24.6825 0.0058
1.6140 2.0000 -9.0049 -24.6858 0.0054
1.6140 3.0000 0.0000 -24.6870 0.0054
1.6140 4.0000 9.0049 -24.6858 0.0054
1.6140 5.0000 18.0158 -24.6825 0.0058
1.6150 1.0000 -18.0168 -25.3158 0.0058
1.6150 2.0000 -9.0054 -25.3189 0.0054
1.6150 3.0000 0.0000 -25.3200 0.0054
1.6150 4.0000 9.0054 -25.3189 0.0054
1.6150 5.0000 18.0168 -25.3158 0.0058
1.6160 1.0000 -18.0179 -25.9508 0.0058
1.6160 2.0000 -9.0059 -25.9536 0.0054
1.6160 3.0000 0.0000 -25.9546 0.0054
1.6160 4.0000 9.0059 -25.9536 0.0054
1.6160 5.0000 18.0179 -25.9508 0.0058
1.6170 1.0000 -18.0190 -26.5874 0.0058
1.6170 2.0000 -9.0065 -26.5899 0.0054
