

#Apogee2N fields that have a -S southern counterpart (e.g. 300+75-S) but they don’t have the corresponding -N suffix (and they also overlap with Apogee1)

#    Fieldname     LocID       Design_type    ndesigns      RA         Dec     reason_of_duplication                      Suggested_New_Name  Survey 
     K19_076+07     5019         kep_apokasc      3    297.937500   40.996500  Ap1/2N_overlap_same_coords                       K19_076+07   Apogee2N
     K20_073+09     4588         kep_apokasc      2    294.683300   39.614100  Ap1/2N_overlap_same_coords                       K20_073+09   Apogee1
     K20_073+09     5020         kep_apokasc      4    294.683300   39.614100  Ap1/2N_overlap_same_coords                       K20_073+09   Apogee2N
     K21_071+10     4589             kep_koi      2    291.554200   38.160500  Ap1/2N_overlap_same_coords                       K21_071+10   Apogee1
     K21_071+10     5021             kep_koi      6    291.554100   38.160500  Ap1/2N_overlap_same_coords                       K21_071+10   Apogee2N
            M15     4230          cluster_gc      6    322.333330   12.172780  Ap1/2N_overlap_diff_coords                              M15   Apogee1
            M15     5110          cluster_gc      5    322.493000   12.167100  Ap1/2N_overlap_diff_coords                              M15   Apogee2N
         M5PAL5     4201          cluster_gc      4    229.225000    1.065000  Ap1/2N_overlap_same_coords                           M5PAL5   Apogee1
         M5PAL5     5092          cluster_gc      8    229.225000    1.065000  Ap1/2N_overlap_same_coords                           M5PAL5   Apogee2N
            M71     4261          cluster_gc      3    298.360370   18.772690  Ap1/2N_overlap_diff_coords                              M71   Apogee1
            M71     5438          cluster_gc      4    298.443900   18.779000  Ap1/2N_overlap_diff_coords                              M71   Apogee2N
           N188     4217          cluster_oc      2     11.832540   85.251000  Ap1/2N_overlap_diff_coords                             N188   Apogee1
           N188     5067          cluster_oc      4     11.866670   85.305000  Ap1/2N_overlap_diff_coords                             N188   Apogee2N


#These are fields from a given external program that are repeated in a different external program so the programname might help to distinguish them in which
#case in might not be necessary to change the field name but it might stil be worth documenting the duplicates

#    Fieldname     LocID       Design_type    ndesigns      RA         Dec     reason_of_duplication                      Suggested_New_Name  Survey 
       000-02-O     5377      schlaufman_17a      1    268.531630  -30.226380  different_programs                                 000-02a-O   Apogee2S
       000-02-O     5394       kollmeier_17a      1    267.852670  -29.963020  different_programs                                 000-02b-O   Apogee2S
       000+02-O     5378      schlaufman_17a      1    264.395450  -27.765210  different_programs                                 000+02a-O   Apogee2S
       000+02-O     5397       kollmeier_17a      1    264.756660  -27.720740  different_programs                                 000+02b-O   Apogee2S
       000-04-O     5376      schlaufman_17a      1    269.736820  -30.764520  different_programs                                 000-04a-O   Apogee2S
       000-04-O     5396       kollmeier_17a      1    270.075460  -31.443790  different_programs                                 000-04b-O   Apogee2S
       000+04-O     5379      schlaufman_17a      1    263.016710  -27.236740  different_programs                                 000+04a-O   Apogee2S
       000+04-O     5398       kollmeier_17a      1    263.427610  -26.754060  different_programs                                 000+04b-O   Apogee2S
       001-04-O     5380      schlaufman_17a      1    270.681110  -29.536370  different_programs                                 001-04a-O   Apogee2S
       001-04-O     5402       kollmeier_17a      1    270.681230  -30.047880  different_programs                                 001-04b-O   Apogee2S
       002+02-O     5383      schlaufman_17a      1    265.415050  -25.972160  different_programs                                 002+02a-O   Apogee2S
       002+02-O     5407       kollmeier_17a      2    265.749650  -26.799050  different_programs                                 002+02b-O   Apogee2S
       003-02-O     5442  TeskeVanSaders_17b      1    270.349060  -26.978170  different_programs                                 003-02d-O   Apogee2S
       003+02-O     5412       kollmeier_17a      2    266.219260  -25.726960  different_programs                                 003+02a-O   Apogee2S
       003+02-O     5440  TeskeVanSaders_17b      1    266.368920  -24.898720  different_programs                                 003+02b-O   Apogee2S
       277-35-O     5556          beaton_18a      1     75.363520  -67.105290  different_programs                                 277-35a-O   Apogee2S
       277-35-O     5862           Drout_18b      1     77.748160  -66.875260  different_programs                                 277-35b-O   Apogee2S
       279-32-O     5867           Drout_18b      1     84.122760  -69.026250  different_programs                                 279-32a-O   Apogee2S
       279-32-O     6165       kollmeier_19b      1     83.933180  -69.044330  different_programs                                 279-32b-O   Apogee2S
       280-33-O     5554          beaton_18a      4     80.828270  -69.427340  different_programs                                 280-33a-O   Apogee2S
       280-33-O     5868           Drout_18b      4     81.870410  -69.368780  different_programs                                 280-33b-O   Apogee2S
       281-34-O     5871           Drout_18b      1     77.698080  -69.751110  different_programs                                 281-34a-O   Apogee2S
       281-34-O     6166       kollmeier_19b      1     78.399180  -69.709510  different_programs                                 281-34b-O   Apogee2S
       281-36-O     5870           Drout_18b      1     72.442640  -69.224540  different_programs                                 281-36a-O   Apogee2S
       281-36-O     6167       kollmeier_19b      1     72.860360  -69.195260  different_programs                                 281-36b-O   Apogee2S
       288-01-C     5302       borissova_17a      1     161.00154  -59.874310  different_programs                                 288-01a-O   Apogee2S
       288-01-C     7072          medina_20a    2.5     161.33551  -60.436740  different_programs                                 288-01b-O   Apogee2S
       353+17-O     5316           teske_17a      2    246.585840  -24.939590  different_programs                                 353+17a-O   Apogee2S
       353+17-O     5657        weinberg_17a      1    246.615700  -25.040210  different_programs                                 353+17b-O   Apogee2S
       354+19-O     5317           teske_17a      3    245.540790  -22.169750  different_programs                                 354+19a-O   Apogee2S
       354+19-O     5658        weinberg_17a      3    245.921040  -22.581850  different_programs                                 354+19b-O   Apogee2S
       358+02-O     5391      schlaufman_17a      1    263.129450  -29.575310  different_programs                                 358+02a-O   Apogee2S
       358+02-O     5433       kollmeier_17a      1    263.282650  -29.771400  different_programs                                 358+02b-O   Apogee2S

#Apogee2N recent overlap, both plates observed don't know the reason of the repetition

#    Fieldname       LocID           Design_type  ndesigns     RA         Dec     reason_of_duplication                      Suggested_New_Name  Survey 
 K2_C13_185-16_btx     6198              k2_btx      1      74.815300   15.494500  unknown                                   K2_C13_185-16_btx   Apogee2N
 K2_C13_185-16_btx     6282              k2_btx      1      74.768700   15.494499  unknown                                   K2_C13_185-16_btx   Apogee2N

#These are commissioning fields that have a regular counterpart in Apogee2S so we might want to use a suffix to distinguish them with their more useful counterparts

#    Fieldname     LocID       Design_type    ndesigns      RA         Dec     reason_of_duplication                      Suggested_New_Name  Survey 
         340+12     5206                disk      3    240.324400  -36.856800  Commissioning                                340+12_Commiss   Apogee2S
         350-12     5158                disk      1    273.444200  -43.452600  Commissioning                                350-12_Commiss   Apogee2S
            M67     5210          cluster_oc      1    132.551300   11.856800  Commissioning                                   M67_Commiss   Apogee2S

 
#These are demoted fields repeated so I don’t think is worth doing anything with them

#    Fieldname     LocID         Design_type  ndesigns     RA         Dec     reason_of_duplication                      Suggested_New_Name  Survey 
         280+45     5699                halo      1    176.203390  -14.855320  Demoted                                              280+45   Apogee2S
         320+45     5701                None      2    205.387670  -16.161590  Demoted                                              320+45   Apogee2S
         326-06     5352                disk      4    243.107360  -59.696860  Demoted                                              326-06   Apogee2S
         340-12     5358                disk      3    266.792560  -52.141240  Demoted                                              340-12   Apogee2S
            M22     5327         cluster_gc2      1    278.959850  -24.261130  Demoted                                                 M22   Apogee2S
          N6441     5326         cluster_gc1      9    267.351840  -36.773830  Demoted                                               N6441   Apogee2S

#These are fields that have a duplicate that is eather demoted or commissioning so I don’t think is worth changing the field name of these but it might be worth documenting

#    Fieldname     LocID       Design_type    ndesigns      RA         Dec     reason_of_duplication                      Suggested_New_Name  Survey 
         280+45     5731                halo      4    176.203390  -14.855320  Replacing_Demoted                                    326-06   Apogee2S
         320+45     5732                halo      4    205.387670  -16.161590  Replacing_Demoted                                    326-06   Apogee2S
         326-06     5730               disk2      4    242.972350  -59.771670  Replacing_Demoted                                    326-06   Apogee2S
         340-12     6045                disk      2    266.650510  -52.221460  Replacing_Demoted                                    340-12   Apogee2S
            M22     5644          cluster_gc      1    279.072050  -23.696390  Replacing_Demoted                                       M22   Apogee2S
          N6441     5643          cluster_gc      1    267.558250  -36.736650  Replacing_Demoted                                     N6441   Apogee2S
         340+12     5369                disk      2    240.290930  -36.883030  Same_as_Commissioning                                340+12   Apogee2S
         350-12     5370               bulge      1    273.485280  -43.442870  Same_as_Commissioning                                350-12   Apogee2S


#*Means that this is actually not a duplicated fieldname but for other reasons it might be worth checking if we should change the name
