

#Apogee2N fields that have a -S southern counterpart (e.g. 300+75-S) but they don’t have the corresponding -N suffix (and they also overlap with Apogee1)

#    Fieldname     LocID       Design_type    ndesigns      RA         Dec     reason_of_duplication                      Suggested_New_Name  Survey 
   160-60-C         5995           stutz_19a       1      160.86041   -59.623630   fieldname_baased_on_equatorial_coordinates           287-01-C        Apogee2S
   161-60-C         5996           stutz_19a       1      161.15234   -59.829860   fieldname_baased_on_equatorial_coordinates           288-01-C        Apogee2S 
   162-60-C         5997           stutz_19a       1      161.63592   -59.830550   fieldname_baased_on_equatorial_coordinates           288-01-C        Apogee2S
   029-12-O         5445  TeskeVanSaders_17b       1      288.96375   -16.299740  fieldname_doesnt_match_galactic_coordinates           021-13-O        Apogee2S
 129-21_btx         6207               odisk       1      128.79990   -20.900100   fieldname_baased_on_equatorial_coordinates         244+12_btx        Apogee2N
 114-25_btx         6208               odisk       1      114.19990   -25.400000   fieldname_baased_on_equatorial_coordinates         241-02_btx        Apogee2N
 108-31_btx         6209               odisk       1      108.30000   -31.300100   fieldname_baased_on_equatorial_coordinates         243-09_btx        Apogee2N



                                                                    Probably Less Critical

#This is a long list of Manga led fields repeated in Apogee2N I don’t know how relevant is this and how these data is released but I put it in here just in case
#So that we can track what to do with them

#       Fieldname     LocID          Design_type ndesigns     RA         Dec     reason_of_duplication                       Suggested_New_Name  Survey 
        040+88_MGA     2306               manga      1    195.222900   27.352694  unknown                                          040+88_MGA   Apogee2N
        040+88_MGA     2511               manga      1    194.651890   27.325357  unknown                                          040+88_MGA   Apogee2N
        047-25_MGA     2254               manga      1    310.734980    0.045570  unknown                                          047-25_MGA   Apogee2N
        047-25_MGA     3689               manga      1    311.363070    0.000000  unknown                                          047-25_MGA   Apogee2N
        048-27_MGA     2006               manga      1    313.693060   -0.000000  unknown                                          048-27_MGA   Apogee2N
        048-27_MGA     2277               manga      1    313.693070   -0.000000  unknown                                          048-27_MGA   Apogee2N
        049+90_MGA     2509               manga      1    192.910030   27.141487  unknown**                                        049+90_MGA   Apogee2N
        049+90_MGA     2646               manga      1    192.910030   27.141487  unknown**                                        049+90_MGA   Apogee2N
        049+90_MGA     2701               manga      1    192.910034   27.141487  unknown                                          049+90_MGA   Apogee2N
        050+31_MGA     2005               manga      1    259.822390   27.415457  unknown                                          050+31_MGA   Apogee2N
        050+31_MGA     2382               manga      1    259.732450   27.820097  unknown                                          050+31_MGA   Apogee2N
        052-33_MGA     2009               manga      1    320.593070    0.000000  unknown                                          052-33_MGA   Apogee2N
        052-33_MGA     2245               manga      1    320.593070    0.000000  unknown                                          052-33_MGA   Apogee2N
        054-35_MGA     2011               manga      1    322.963140    0.010652  unknown                                          054-35_MGA   Apogee2N
        054-35_MGA     2247               manga      1    322.963140    0.010652  unknown                                          054-35_MGA   Apogee2N
        056+88_MGA     2446               manga      1    194.897320   27.896555  unknown                                          056+88_MGA   Apogee2N
        056+88_MGA     2448               manga      1    195.146990   27.960817  unknown                                          056+88_MGA   Apogee2N
        057+35_MGA     2001               manga      1    257.362640   33.635315  unknown                                          057+35_MGA   Apogee2N
        057+35_MGA     2386               manga      1    257.254850   33.695354  unknown                                          057+35_MGA   Apogee2N
        059+36_MGA     2000               manga      1    256.802730   35.579071  unknown                                          059+36_MGA   Apogee2N
        059+36_MGA     2244               manga      1    256.533450   35.622395  unknown                                          059+36_MGA   Apogee2N
        059-41_MGA     2012               manga      1    330.163070   -0.000000  unknown                                          059-41_MGA   Apogee2N
        059-41_MGA     2278               manga      1    330.163070   -0.000000  unknown                                          059-41_MGA   Apogee2N
        061-25_MGA     2016               manga      1    318.464490   10.538037  unknown                                          061-25_MGA   Apogee2N
        061-25_MGA     2249               manga      1    318.464500   10.538037  unknown                                          061-25_MGA   Apogee2N
        062+44_MGA     2232               manga      1    247.109270   38.703705  unknown                                          062+44_MGA   Apogee2N
        062+44_MGA     2234               manga      1    246.449970   39.040272  unknown                                          062+44_MGA   Apogee2N
        064+44_MGA     2122               manga      1    246.216674   40.560646  unknown                                          064+44_MGA   Apogee2N
        064+44_MGA     2705               manga      1    247.141052   40.161938  unknown                                          064+44_MGA   Apogee2N
        065-29_MGA     2018               manga      1    323.734500   11.440488  unknown                                          065-29_MGA   Apogee2N
        065-29_MGA     2250               manga      1    323.734500   11.440488  unknown                                          065-29_MGA   Apogee2N
        073-34_MGA     2021               manga      1    331.974490   12.617103  unknown                                          073-34_MGA   Apogee2N
        073-34_MGA     2022               manga      1    332.809080   12.766006  unknown                                          073-34_MGA   Apogee2N
        073-34_MGA     3766               manga      1    332.274500   12.671614  unknown                                          073-34_MGA   Apogee2N
        075-35_MGA     2023               manga      1    334.212350   13.034418  unknown                                          075-35_MGA   Apogee2N
        075-35_MGA     3767               manga      1    333.830540   12.941144  unknown                                          075-35_MGA   Apogee2N
        085+35_MGA     2035               manga      1    260.140440   56.847645  unknown                                          085+35_MGA   Apogee2N
        085+35_MGA     2256               manga      1    260.109280   56.731812  unknown                                          085+35_MGA   Apogee2N
        085+35_MGA     3809               manga      1    259.685360   56.745140  unknown                                          085+35_MGA   Apogee2N
        087+35_MGA     2032               manga      1    258.518370   58.528118  unknown                                          087+35_MGA   Apogee2N
        087+35_MGA     2529               manga      1    258.818730   58.423828  unknown                                          087+35_MGA   Apogee2N
        088+34_MGA     2033               manga      1    261.325800   59.683441  unknown                                          088+34_MGA   Apogee2N
        088+34_MGA     2255               manga      1    261.796940   59.190521  unknown                                          088+34_MGA   Apogee2N
        093-43_MGA     2252               manga      1    350.828490   14.563378  unknown                                          093-43_MGA   Apogee2N
        093-43_MGA     2253               manga      4    350.484500   14.538063  unknown                                          093-43_MGA   Apogee2N
        094-43_MGA     2772               manga      1    351.182678   14.592437  unknown                                          094-43_MGA   Apogee2N
        094-43_MGA     2773               manga      4    351.574497   14.608641  unknown                                          094-43_MGA   Apogee2N
        125-48_MGA     2026               manga      4     14.584497   14.828529  unknown                                          125-48_MGA   Apogee2N
        125-48_MGA     2776               manga      4     14.584497   14.828529  unknown                                          125-48_MGA   Apogee2N
        130-48_MGA     2029               manga      4     17.464497   14.663705  unknown                                          130-48_MGA   Apogee2N
        130-48_MGA     2778               manga      4     17.464497   14.663705  unknown                                          130-48_MGA   Apogee2N    
        131-48_MGA     2028               manga      4     18.387092   14.612152  unknown                                          131-48_MGA   Apogee2N
        131-48_MGA     2777               manga      4     18.387092   14.612152  unknown                                          131-48_MGA   Apogee2N     
        141+72_MGA     2116               manga      1    184.919540   44.233536  unknown                                          141+72_MGA   Apogee2N
        141+72_MGA     2152               manga      1    184.919540   44.233536  unknown                                          141+72_MGA   Apogee2N
        147-46_MGA     2030               manga      1     29.944497   13.565373  unknown                                          147-46_MGA   Apogee2N
        147-46_MGA     2427               manga      1     29.944497   13.565373  unknown                                          147-46_MGA   Apogee2N
        149-46_MGA     2031               manga      1     31.484497   13.400603  unknown                                          149-46_MGA   Apogee2N
        149-46_MGA     2096               manga      1     31.484497   13.400603  unknown                                          149-46_MGA   Apogee2N
        151-45_MGA     2038               manga      1     32.561790   13.293448  unknown                                          151-45_MGA   Apogee2N
        151-45_MGA     2428               manga      1     32.561790   13.293448  unknown                                          151-45_MGA   Apogee2N
        151+70_MGA     2120               manga      1    179.431640   44.396317  unknown                                          151+70_MGA   Apogee2N
        151+70_MGA     2153               manga      2    179.431640   44.396317  unknown                                          151+70_MGA   Apogee2N
        165+62_MGA     2122               manga      1    166.561160   45.546619  unknown                                          165+62_MGA   Apogee2N
        165+62_MGA     2154               manga      1    166.561160   45.546619  unknown                                          165+62_MGA   Apogee2N
        168+62_MGA     2115               manga      2    165.256990   44.305809  unknown                                          168+62_MGA   Apogee2N
        168+62_MGA     2150               manga      2    165.256990   44.305809  unknown                                          168+62_MGA   Apogee2N
        172+63_MGA     2111               manga      1    165.280320   42.092697  unknown                                          172+63_MGA   Apogee2N
        172+63_MGA     2168               manga      2    165.280320   42.092697  unknown                                          172+63_MGA   Apogee2N
        175+58_MGA     2113               manga      2    158.300020   42.736076  unknown                                          175+58_MGA   Apogee2N
        175+58_MGA     2149               manga      1    158.300020   42.736076  unknown                                          175+58_MGA   Apogee2N
        178-48_MGA     2394               manga      1     45.763070   -0.000000  unknown                                          178-48_MGA   Apogee2N
        178-48_MGA     2395               manga      1     46.323070    0.000000  unknown                                          178-48_MGA   Apogee2N
        181-46_MGA     2048               manga      1     48.543100    0.000000  unknown                                          181-46_MGA   Apogee2N
        181-46_MGA     2049               manga      1     49.023100    0.000000  unknown                                          181-46_MGA   Apogee2N
        181-46_MGA     2050               manga      1     49.473100    0.000000  unknown                                          181-46_MGA   Apogee2N
        185-42_MGA     2013               manga      2     53.513070    0.000854  unknown                                          185-42_MGA   Apogee2N
        185-42_MGA     2094               manga      1     53.513070    0.000854  unknown                                          185-42_MGA   Apogee2N
        187-41_MGA     2014               manga      1     55.443070   -0.007008  unknown                                          187-41_MGA   Apogee2N
        187-41_MGA     2095               manga      1     55.443070   -0.007008  unknown                                          187-41_MGA   Apogee2N
        319+88_MGA     2512               manga      2    193.346570   25.570040  unknown                                          319+88_MGA   Apogee2N
        319+88_MGA     2647               manga      1    193.346570   25.570040  unknown                                          319+88_MGA   Apogee2N



#Apogee1N Apogee2N overlaps

#    Fieldname     LocID          Design_type ndesigns    RA          Dec       reason_of_duplication                      Suggested_New_Name Survey 
         000+12     4459               bulge      1    255.351600  -22.238200  Ap1/2N_overlap_same_coords                           000+12   Apogee1
         000+12     5129               bulge      4    255.351800  -22.238200  Ap1/2N_overlap_same_coords                           000+12   Apogee2N
         000+60     4436                halo      1    217.988250    8.799440  Ap1/2N_overlap_same_coords                           000+60   Apogee1
         000+60     5663                halo      2    217.988500    8.799500  Ap1/2N_overlap_same_coords                           000+60   Apogee2N
         027+00     4106                disk      1    280.146790   -5.277390  Ap1/2N_overlap_same_coords                           027+00   Apogee1
         027+00     5203                disk      1    280.147040   -5.277400  Ap1/2N_overlap_same_coords                           027+00   Apogee2N
         030+30     4522                halo      1    254.585200   10.869300  Ap1/2N_overlap_same_coords                           030+30   Apogee1
         030+30     5292                halo      4    254.585400   10.869300  Ap1/2N_overlap_same_coords                           030+30   Apogee2N
         030+60     4437                halo      1    225.405790   21.847220  Ap1/2N_overlap_same_coords                           030+60   Apogee1
         030+60     5182                halo      5    225.406000   21.847200  Ap1/2N_overlap_same_coords                           030+60   Apogee2N
         040+45     4208                halo      1    242.820170   23.569810  Ap1/2N_overlap_same_coords                           040+45   Apogee1
         040+45     5125                halo      4    242.820400   23.569800  Ap1/2N_overlap_same_coords                           040+45   Apogee2N
         060+60     4438                halo      1    226.582880   36.683060  Ap1/2N_overlap_same_coords                           060+60   Apogee1
         060+60     5276                halo      6    226.583100   36.683100  Ap1/2N_overlap_same_coords                           060+60   Apogee2N
         060+75     4483                halo      1    208.817600   33.042800  Ap1/2N_overlap_same_coords                           060+75   Apogee1
         060+75     5180                halo      5    208.817800   33.042800  Ap1/2N_overlap_same_coords                           060+75   Apogee2N
         060-04     4248               disk2      2    299.711290   21.850970  Ap1/2N_overlap_same_coords                           060-04   Apogee1
         060-04     5120               disk2      1    299.711540   21.850970  Ap1/2N_overlap_same_coords                           060-04   Apogee2N
         080+45     4209                halo      1    243.628130   51.553780  Ap1/2N_overlap_same_coords                           080+45   Apogee1
         080+45     5184                halo      4    243.628400   51.553800  Ap1/2N_overlap_same_coords                           080+45   Apogee2N
         090+60     4439                halo      1    217.992790   50.209080  Ap1/2N_overlap_same_coords                           090+60   Apogee1
         090+60     5186                halo      4    217.993000   50.209100  Ap1/2N_overlap_same_coords                           090+60   Apogee2N
         100-60     4590                halo      2      1.623900    0.855500  Ap1/2N_overlap_same_coords                           100-60   Apogee1
         100-60     5218                halo      1      1.624100    0.855600  Ap1/2N_overlap_same_coords                           100-60   Apogee2N
         120+12     4287                disk      1      1.983290   74.623530  Ap1/2N_overlap_same_coords                           120+12   Apogee1
         120+12     5046                disk      2      1.983500   74.623500  Ap1/2N_overlap_same_coords                           120+12   Apogee2N
