APOGEE_ID,DDO51,DDO51ERR,M,MERR,T2,T2ERR
2M15095414+6809189,18.0797,0.0222,18.0533,0.0154,16.7322,0.0112
2M15095426+6712031,17.2474,0.0115,17.3097,0.0058,15.7212,0.0052
2M15095862+6716200,17.3707,0.0095,17.4138,0.0049,15.6891,0.0043
2M15100155+6621189,18.7284,0.0454,18.6819,0.0349,15.5705,0.0084
2M15100549+6740434,17.6782,0.0176,17.7224,0.0128,16.3026,0.0085
2M15100904+6712523,17.1723,0.0114,17.2217,0.0056,15.5091,0.0052
2M15101013+6710376,18.0576,0.0141,18.1256,0.0086,16.7609,0.0064
2M15101168+6708289,17.5064,0.0098,17.5679,0.0052,16.0669,0.0044
2M15101762+6715533,17.5702,0.0122,17.6375,0.0067,16.1581,0.0054
2M15101942+6705324,17.9951,0.0107,18.0378,0.0065,16.6634,0.0052
2M15102222+6733219,18.2192,0.0207,18.2507,0.0182,16.9076,0.0113
2M15102258+6619392,18.2418,0.0332,18.0943,0.022,16.5095,0.0121
2M15102712+6724362,17.2968,0.0081,17.3187,0.0044,15.6513,0.0037
2M15103162+6719066,18.3523,0.0119,18.3037,0.0075,16.8369,0.0055
2M15103757+6727389,17.4563,0.0121,17.4888,0.0073,15.8741,0.0056
2M15104304+6703473,17.9644,0.0106,18.0199,0.0064,16.6096,0.005
2M15104370+6712519,17.981,0.0103,18.0351,0.0063,16.6109,0.005
2M15104618+6716408,17.4227,0.0095,17.4726,0.005,15.8783,0.0044
2M15105518+6646531,18.0467,0.0199,18.0848,0.0137,16.81,0.0106
2M15110038+6805396,17.9582,0.0218,17.8581,0.0127,16.2202,0.009
2M15110089+6653041,17.026,0.0093,17.0544,0.0048,15.3375,0.0043
2M15110573+6713153,17.3753,0.0117,17.4195,0.0063,15.71,0.0053
2M15111784+6719203,18.2119,0.012,18.2523,0.0082,16.8139,0.0058
2M15111961+6722351,17.6245,0.0101,17.6586,0.0057,16.1106,0.0046
2M15112005+6819172,18.0782,0.0162,17.9992,0.0098,15.3472,0.0052
2M15112429+6733501,17.149,0.0116,17.1654,0.0066,15.407,0.0053
2M15112710+6716166,17.6337,0.0101,17.6678,0.0057,16.1815,0.0047
2M15112841+6714424,17.2046,0.0095,17.2415,0.0049,15.5328,0.0043
2M15113064+6748017,15.0885,0.0108,15.1147,0.0047,14.3261,0.0051
2M15113641+6718078,17.8433,0.0106,17.851,0.0062,16.2953,0.0048
2M15114838+6719378,17.3518,0.0096,17.3886,0.0051,15.7999,0.0044
2M15114947+6712433,15.028,0.0107,15.0482,0.0046,14.107,0.0049
2M15115384+6649520,18.2142,0.0117,18.2541,0.0084,16.8912,0.0062
2M15115555+6725094,17.9828,0.0106,17.8736,0.0061,16.4726,0.0047
2M15120101+6639504,14.8043,0.0153,14.8338,0.0065,13.9992,0.007
2M15120302+6712176,18.2293,0.0139,18.2716,0.0096,16.8839,0.0069
2M15120851+6603265,17.7871,0.0258,17.6496,0.0154,15.9291,0.009
2M15121662+6719079,17.2464,0.013,17.1198,0.0059,15.3849,0.0052
2M15122006+6720166,17.8587,0.013,17.9003,0.008,16.5082,0.006
2M15122622+6640567,15.85,0.0155,15.8945,0.0072,14.5172,0.0072
2M15122899+6730463,18.2296,0.022,18.2774,0.0164,16.8884,0.0113
2M15123299+6606143,18.2961,0.0331,18.2619,0.0259,16.7771,0.0129
2M15124227+6724075,17.738,0.0125,17.7689,0.0075,16.3227,0.006
2M15124479+6718421,17.8211,0.0126,17.8487,0.0075,16.3786,0.006
2M15124818+6805126,15.9859,0.0163,15.9449,0.0069,14.6272,0.007
2M15125441+6721102,17.7224,0.0124,17.7609,0.0073,16.2856,0.006
2M15125534+6748381,17.5662,0.0182,17.634,0.0111,16.2104,0.0092
2M15130100+6606015,14.9461,0.0158,14.9584,0.0067,13.2941,0.0068
2M15130127+6649133,17.9367,0.0213,17.8532,0.0146,16.2662,0.0106
2M15131234+6733205,17.153,0.0166,17.2043,0.009,15.4974,0.0075
2M15131804+6817406,19.0475,0.0434,19.1234,0.0339,15.7752,0.0078
2M15132270+6622212,18.0863,0.0305,18.0106,0.0201,16.5441,0.0121
2M15132446+6625210,16.9299,0.0121,16.9619,0.0068,15.2531,0.0055
2M15132607+6716227,17.1686,0.0171,17.225,0.0089,15.6234,0.0075
2M15133030+6706368,17.2726,0.0172,17.3348,0.0096,15.7624,0.008
2M15135201+6827311,16.3178,0.0125,16.1986,0.005,14.7825,0.0048
2M15135344+6730564,16.8024,0.0178,16.6904,0.0078,14.9694,0.0072
2M15145838+6805046,17.5884,0.0184,17.6376,0.0118,16.4442,0.0097
2M15153228+6753310,15.291,0.0153,15.3001,0.0067,14.3684,0.0072
2M15160879+6725415,17.9465,0.0154,17.8001,0.0081,15.4009,0.0053
2M15161626+6601475,15.4761,0.0112,15.4514,0.0045,14.495,0.0049
2M15163349+6802423,15.9215,0.0165,15.8632,0.0069,14.6612,0.007
2M15164733+6708333,15.8839,0.0114,15.8283,0.0048,14.6503,0.005
2M15165099+6825426,17.1997,0.0126,16.9957,0.0052,15.1473,0.0041
2M15165254+6751210,17.9362,0.0145,17.9593,0.0105,16.547,0.0074
2M15171218+6646394,17.1685,0.0235,17.2316,0.0102,15.5999,0.0084
2M15171948+6717483,18.2372,0.0497,18.0859,0.0182,16.4863,0.0112
2M15172327+6719542,17.8623,0.0367,17.7298,0.0136,16.0923,0.009
2M15172480+6803167,15.9853,0.0114,15.9489,0.0048,14.8503,0.0049
2M15175357+6736250,18.1823,0.0314,18.0882,0.0182,16.5389,0.0112
2M15180711+6703083,17.8885,0.0328,17.7333,0.0128,16.0223,0.009
2M15182104+6749080,17.8407,0.0247,17.918,0.0163,16.4239,0.0105
2M15182461+6706097,18.2743,0.0439,18.1574,0.0174,16.0453,0.009
2M15183139+6744116,18.4271,0.0363,18.4491,0.0231,15.7819,0.0084
2M15183486+6727205,17.4529,0.0175,17.2729,0.0076,15.2376,0.0052
2M15183682+6713509,18.4567,0.0559,18.3623,0.022,16.9573,0.0146
2M15185313+6740303,17.8982,0.0266,17.7886,0.0145,16.2609,0.0097
2M15185363+6704168,15.402,0.0161,15.4494,0.0066,14.0703,0.0068
2M15191193+6823379,16.2448,0.0169,16.166,0.0069,14.8435,0.007
2M15192121+6605277,14.5179,0.0158,14.5449,0.0062,13.7049,0.0068
2M15195908+6706236,14.8152,0.016,14.8674,0.0063,13.6873,0.0068
2M15202974+6647308,16.0759,0.0162,16.0953,0.0069,14.8139,0.007
2M15203432+6713491,17.2941,0.0183,17.2603,0.0102,15.5893,0.0078
2M15203604+6720004,18.1098,0.0268,17.9492,0.0145,16.2653,0.0097
2M15204042+6627362,15.3582,0.0111,15.338,0.0045,14.3644,0.0049
2M15204810+6647552,17.5293,0.0213,17.4322,0.011,15.8589,0.0084
2M15210244+6728120,17.4481,0.0132,17.4861,0.008,15.9751,0.0059
2M15211004+6723361,14.5482,0.0157,14.5643,0.0061,13.8123,0.0068
2M15213420+6711316,18.0832,0.0255,18.0038,0.0155,16.0593,0.009
2M15231353+6802173,14.9636,0.0139,14.9724,0.0062,14.1656,0.0062
2M15232980+6740140,17.7795,0.0184,17.8311,0.0144,16.3638,0.0085
2M15235842+6738289,15.7184,0.0146,15.6532,0.0063,14.4908,0.0064
2M15243214+6731081,16.6008,0.0177,16.4429,0.0078,15.0448,0.0064
2M10090894-0139276,19.366,0.028,19.163,0.026,17.186,0.022
AP10091010-0134198,18.718,0.022,18.682,0.022,17.408,0.026
2M10091095-0140501,15.926,0.017,15.913,0.019,14.671,0.016
2M10091645-0140370,13.469,0.017,13.476,0.018,12.577,0.016
2M10091645-0140370,0.0,0.0,0.0,0.0,0.0,0.0
2M10091745-0154497,17.755,0.015,17.8,0.024,16.612,0.018
2M10092683-0126273,13.944,0.017,13.895,0.018,12.581,0.016
2M10092797-0122278,17.818,0.02,17.811,0.019,16.589,0.018
2M10093178-0123508,13.608,0.018,13.633,0.017,12.775,0.015
2M10093186-0158584,15.982,0.014,15.982,0.023,14.695,0.015
2M10093590-0119166,13.79,0.018,13.809,0.017,12.8,0.015
2M10093717-0116057,15.657,0.018,15.711,0.017,14.664,0.015
2M10094139-0157547,14.49,0.013,14.5,0.023,13.193,0.015
2M10094422-0156236,11.862,0.02,11.877,0.024,11.065,0.024
2M10094549-0135424,12.828,0.017,12.779,0.019,11.659,0.018
2M10094822-0114421,17.169,0.019,17.21,0.018,16.109,0.017
2M10094908-0126325,18.651,0.023,18.701,0.023,17.252,0.025
2M10095007-0132353,17.864,0.019,17.93,0.02,16.311,0.018
2M10095244-0128292,17.792,0.019,17.866,0.02,16.296,0.018
2M10095538-0142482,17.806,0.019,17.877,0.02,16.216,0.019
AP10095626-0204279,18.575,0.013453623,18.6165,0.016650826,17.216,0.03367863
2M10095639-0211315,19.336,0.029,19.174,0.027,16.962,0.063
2M10100147-0127009,13.105,0.017,13.009,0.018,11.803,0.017
2M10100298-0113006,11.798,0.03,11.791,0.036,11.183,0.028
2M10100922-0158268,0.0,0.0,0.0,0.0,0.0,0.0
2M10101914-0141114,17.037,0.018,17.071,0.02,15.88,0.015
AP10102401-0208557,18.198,0.019,18.203,0.023,16.885,0.063
2M10102766-0207108,17.903,0.013829316,17.9505,0.015556349,16.442,0.032626677
2M10103022-0204406,17.998001,0.0145,18.0275,0.015913831,17.05,0.03352611
2M10103022-0204406,0.0,0.0,0.0,0.0,0.0,0.0
2M10103107-0156423,13.774,0.019,13.764,0.02,12.701,0.014
2M10103107-0156423,0.0,0.0,0.0,0.0,0.0,0.0
2M10103374-0117247,13.344,0.018,13.256,0.019,12.046,0.012
2M10103374-0117247,0.0,0.0,0.0,0.0,0.0,0.0
2M10103407-0138337,15.735,0.018,15.708,0.019,14.382,0.013
2M10103631-0150019,11.92,0.024,11.905,0.024,10.899,0.029
2M10103697-0208354,18.019,0.018,18.055,0.022,16.534,0.063
2M10103984-0220079,17.818,0.018,17.913,0.022,16.369,0.062
2M10104056-0056363,14.894,0.014,14.676,0.017,13.268,0.021
2M10104222-0148282,13.57,0.019,13.538,0.02,12.489,0.014
2M10104222-0148282,0.0,0.0,0.0,0.0,0.0,0.0
2M10104247-0158251,13.473,0.019,13.404,0.02,12.199,0.014
2M10104247-0158251,0.0,0.0,0.0,0.0,0.0,0.0
2M10104407-0132137,15.11,0.018,15.094,0.019,13.858,0.013
2M10104649-0225523,13.201,0.014,13.176,0.014,11.82,0.05
2M10105157-0124327,13.861,0.019,13.82,0.02,12.676,0.016
2M10105157-0124327,0.0,0.0,0.0,0.0,0.0,0.0
2M10105245-0221563,16.421,0.016,16.426,0.021,15.242,0.062
2M10105252-0144255,14.72,0.018,14.707,0.019,13.452,0.013
2M10105664-0201021,13.23,0.019,13.158,0.02,12.003,0.014
2M10105954-0157156,17.442,0.02,17.474,0.021,16.286,0.016
2M10110038-0206155,14.324,0.0124197425,14.33,0.014142135,13.088,0.031780496
2M10110107-0214180,17.2,0.016,17.236,0.021,15.968,0.062
2M10110133-0112187,16.821,0.019,16.825,0.019,15.622,0.014
2M10110262-0138122,11.92,0.023,11.866,0.031,10.7,0.035
