KIC_ID,2MASS_ID,ES_AST,ES_SP,CAT,LOGG_SEIS,SIG_LOGG_SEIS,dlogg,NUMAX_WTCOR,SIG_NUM_WTCOR,TEFF_FIT,TEFF_COR,TEFF_COR_ERR,LOGG_FIT,LOGG_COR,LOGG_COR_ERR,FE_H_ADOP_FIT,FE_H_ADOP_COR,FE_H_ADOP_COR_ERR,ALP_FE_ADOP_FIT,ALP_FE_ADOP_COR,ALP_FE_ADOP_COR_ERR,FE_H_RAW,C_M_RAW,N_M_RAW,C_N_RAW,Delta_T
6131901,2M19372371+4126341,2,2,1,2.281162642,0.00482064,-0.043563658,24.1658,0.0069,4562.7,4651.163,81.76616,2.5928,2.3247263,0.033088986,-0.17194,-0.17150155,0.006685735,0.18983,0.156339,0.006993339,-0.17194,0.19273,0.15429,0.03844,26.80223808
6871472,2M19370020+4222392,2,2,1,2.281795314,0.004324789,-0.035724386,24.5199,0.0056,4444.8,4522.6836,75.19753,2.5787,2.3175197,0.027405886,0.2458,0.24623846,0.005368836,0.013065,-0.020426001,0.005302136,0.2458,0.061832,0.23952,-0.177688,43.73253342
5560983,2M19540709+4046539,1,1,1,2.281858568,0.004294347,-0.076021032,24.5944,0.0044,4419.2,4504.0444,80.522865,2.594,2.3578796,0.054292616,0.082984,0.08342245,0.00648621,0.04992,0.016429,0.006350533,0.082984,0.042902,0.21369,-0.170788,-67.45642286
11250488,2M19390946+4859158,1,1,1,2.281868593,0.00434689,-0.070667807,24.2717,0.0044,4537.7,4627.8174,84.006035,2.5601,2.3525364,0.0597535,-0.14275,-0.14231154,0.007052848,0.07664,0.043149002,0.00722494,-0.14729,-0.047661,0.32752,-0.375181,-113.6854868
9364907,2M19571930+4548378,1,1,1,2.282164417,0.00468335,-0.010615583,24.4578,0.0053,4475,4561.328,86.558556,2.5277,2.29278,0.054622088,0.048276,0.04871445,0.007278725,0.043171,0.009679999,0.007047096,0.048276,-0.03627,0.26662,-0.30289,-39.16660273
5272843,2M19243287+4026555,2,2,1,2.282408519,0.005132737,-0.012331681,24.1807,0.0056,4583.3,4670.6514,98.3196,2.5311,2.2947402,0.035496827,-0.20188,-0.20144154,0.00943698,0.2201,0.186609,0.009224243,-0.20188,0.12153,0.15364,-0.03211,41.66397259
4737942,2M19162872+3949410,1,1,1,2.28257939,0.004335307,0.02692719,24.4566,0.0042,4484,4598.5176,84.08402,2.4069,2.2556522,0.0680134,-0.61115,-0.6107116,0.008300607,0.26454,0.23104899,0.009054706,-0.61115,0.13629,0.10768,0.02861,-167.4037577
3238626,2M19292318+3821329,2,2,1,2.282980993,0.004500914,-0.016067207,24.5373,0.0056,4462.8,4539.385,79.95832,2.5405,2.2990482,0.02815991,0.27618,0.27661845,0.005912902,0.033952,0.000461001,0.005689051,0.27618,0.13062,0.025735,0.104885,198.613179
10864755,2M19331951+4816249,2,2,1,2.283193566,0.004444007,-0.089249834,24.6034,0.0056,4443.2,4516.424,78.120575,2.6775,2.3724434,0.02718819,0.35481,0.35524845,0.005592236,0.025495,-0.007996,0.005340262,0.35481,0.0882,0.24394,-0.15574,48.66769084
9785675,2M19493887+4634356,2,2,1,2.28319504,0.004326949,-0.01696846,24.4252,0.0056,4508.3,4583.4844,76.26443,2.5429,2.3001635,0.028912669,0.2864,0.28683844,0.005273448,0.054594,0.021102998,0.005218769,0.2864,0.14417,0.15121,-0.00704,207.8101237
11760319,2M19205156+4958285,2,2,1,2.28322975,0.00943501,-0.07667625,23.6881,0.0197,4794,4866.8677,93.948746,2.6565,2.359906,0.04375626,-0.43527,-0.43483156,0.008632883,0.18869,0.155199,0.009211171,-0.43527,0.1239,0.28226,-0.15836,23.8775253
11410478,2M19415763+4912584,1,1,1,2.284263318,0.00434887,0.033611918,24.8258,0.0044,4385.5,4464.9385,81.095505,2.5082,2.2506514,0.05149648,0.20943,0.20986845,0.006461129,0.023669,-0.009822,0.006128757,0.19741,0.026343,0.34628,-0.319937,-30.82593473
5728367,2M19503284+4056130,2,2,1,2.284495601,0.005336128,-0.064185799,23.3688,0.0069,4954.7,5014.9727,103.177345,2.637,2.3486814,0.052765667,-0.57705,-0.5766115,0.01040187,0.31888,0.285389,0.011064478,-0.57705,0.0038823,0.45069,-0.4468077,23.0218913
11443382,2M18591806+4921359,2,2,1,2.28467571,0.004976273,-0.05296529,23.9537,0.0056,4719.6,4794.5513,96.908775,2.6171,2.337641,0.04036487,-0.28196,-0.28152156,0.008938767,0.10308,0.069589,0.009103071,-0.28196,0.11325,0.023341,0.089909,134.8686134
7974594,2M19461808+4344255,1,1,1,2.285041621,0.0043583,-0.022464379,24.273,0.0044,4604,4695.797,85.51949,2.489,2.307506,0.065035254,-0.36209,-0.36165154,0.007547784,0.11316,0.079669,0.008050351,-0.36209,0.066536,0.15818,-0.091644,-13.95814483
5631398,2M19402379+4052044,1,1,1,2.285753722,0.004359073,0.074798122,24.8084,0.0053,4421.9,4513.038,77.67518,2.4348,2.2109556,0.05756577,-0.064248,-0.06380955,0.006317187,0.0671,0.033609003,0.006431706,-0.064248,0.070076,0.23523,-0.165154,-46.75002275
3941538,2M19100701+3901564,2,2,1,2.286504153,0.004384091,-0.055691147,24.4979,0.0056,4550.4,4626.572,78.47174,2.6254,2.3421953,0.030859597,0.14898,0.14941846,0.005674302,0.02552,-0.007971,0.005722199,0.14898,0.13731,0.042722,0.094588,173.4336384
