KEPLER_INT,2MASS_ID
2011582,2M19225839+3728552
2011675,2M19230365+3724365
2011870,2M19231654+3728560
2011883,2M19231730+3726352
2011891,2M19231796+3728151
2012622,2M19235695+3728200
2012664,2M19235896+3726571
2012826,2M19240893+3725392
2012932,2M19241488+3729400
2013145,2M19242691+3725178
2013502,2M19244585+3729385
2013530,2M19244785+3729142
2013883,2M19250796+3725105
2014003,2M19251521+3729348
2014377,2M19253754+3727135
2014684,2M19255509+3726471
2015013,2M19261331+3726425
2015616,2M19264542+3729340
2015820,2M19265758+3728035
2015864,2M19265973+3729027
2015883,2M19270103+3727167
2016492,2M19273665+3725459
2016676,2M19274515+3727100
2016706,2M19274667+3727398
2016978,2M19275725+3725189
2017157,2M19280698+3726153
2017161,2M19280717+3726186
2017541,2M19282778+3725510
2018007,2M19285319+3727332
2018047,2M19285561+3728053
2018112,2M19285915+3726404
2018281,2M19290875+3725176
2018283,2M19290899+3726467
2018392,2M19291520+3729271
2018432,2M19291725+3728359
2018537,2M19292262+3728081
2018541,2M19292298+3729130
2018631,2M19292855+3729293
2018642,2M19292916+3725222
2018667,2M19293034+3729119
2018739,2M19293387+3728510
2018760,2M19293462+3729430
2018906,2M19294158+3725408
2019109,2M19295277+3727485
2019199,2M19295668+3724156
2019227,2M19295822+3724135
2019258,2M19300028+3725001
2019352,2M19300590+3726594
2019396,2M19300833+3726004
2019477,2M19301246+3725163
2019553,2M19301653+3727233
2020498,2M19310380+3726334
2020820,2M19311869+3728372
2020876,2M19312145+3726336
2021633,2M19320240+3729257
2140360,2M19033826+3735414
2140424,2M19034243+3733397
2140446,2M19034433+3734348
2140491,2M19034774+3731389
2140561,2M19035396+3733054
2140686,2M19040479+3731438
2140780,2M19041204+3732321
2140982,2M19042832+3733366
2141255,2M19045244+3731146
2141652,2M19051923+3731392
2141928,2M19054142+3731262
2141932,2M19054160+3732430
2141950,2M19054317+3735375
2142095,2M19055465+3735053
2142280,2M19061033+3731254
2142405,2M19062014+3730377
2142501,2M19062856+3730145
2142628,2M19063904+3732420
2142657,2M19064169+3735045
2155148,2M19210539+3732430
2155220,2M19211041+3734464
2155467,2M19212437+3735402
2155869,2M19214745+3730572
2156061,2M19215838+3732382
2156155,2M19220320+3732313
2156178,2M19220462+3731316
2156939,2M19224869+3730231
2156988,2M19225235+3735093
2157059,2M19225665+3732517
2157213,2M19230472+3730556
2157650,2M19232744+3734298
2157725,2M19233177+3731446
2157901,2M19234174+3735179
2157964,2M19234556+3734078
2158208,2M19240010+3732269
2158336,2M19240871+3735123
2158410,2M19241257+3731545
2158781,2M19243366+3733038
2158850,2M19243787+3730556
2159290,2M19250100+3730408
2159449,2M19250940+3735581
2159499,2M19251184+3732478
2159864,2M19253124+3733144
2160161,2M19254757+3734183
2160275,2M19255329+3731152
2160553,2M19260639+3732270
2160572,2M19260797+3735340
2160901,2M19262385+3732227
2161409,2M19264805+3733467
2161536,2M19265428+3731440
2161623,2M19265867+3735276
2161831,2M19270967+3731187
2161974,2M19271636+3735260
2162160,2M19272686+3733542
2162486,2M19274628+3731241
2162635,2M19275461+3731571
2162994,2M19281391+3735313
2163226,2M19282459+3734008
2163434,2M19283383+3734463
2163597,2M19284163+3735362
2163856,2M19285446+3733268
2164123,2M19290694+3732057
2164169,2M19290983+3734508
2164262,2M19291444+3732279
2164327,2M19291858+3735195
2164379,2M19292074+3734149
2164791,2M19294258+3733223
2164874,2M19294668+3733164
2165002,2M19295274+3734040
2165198,2M19300234+3735387
2165352,2M19301035+3733207
2165356,2M19301055+3730422
2165371,2M19301164+3735592
2165450,2M19301649+3735048
2165574,2M19302288+3731338
2165615,2M19302512+3730446
2165710,2M19303010+3732198
2165894,2M19304136+3732229
2166223,2M19305748+3731444
2166632,2M19311845+3732331
2166709,2M19312191+3732445
2166766,2M19312477+3733124
2166769,2M19312496+3731483
2166920,2M19313250+3732533
2166940,2M19313464+3730210
2167183,2M19314645+3732024
2167774,2M19321701+3731246
2167890,2M19322246+3730522
2282855,2M19034464+3738547
2283093,2M19040604+3739523
2283243,2M19041752+3739411
2283435,2M19043264+3738587
2283532,2M19044019+3740211
2283541,2M19044078+3736065
2283682,2M19045111+3738272
2283721,2M19045380+3741230
2284079,2M19052109+3736518
2284278,2M19053572+3738330
2284330,2M19053984+3737500
2284679,2M19060736+3740100
2285004,2M19063293+3736103
2285032,2M19063516+3739380
2285217,2M19065057+3736190
2285420,2M19070628+3738224
2285598,2M19072124+3741480
2285615,2M19072312+3741496
2285776,2M19073582+3740107
2285827,2M19074000+3740453
2285898,2M19074491+3741456
2297349,2M19204408+3737470
2297357,2M19204431+3739573
2297384,2M19204557+3739509
2297529,2M19205160+3739408
2297785,2M19210286+3737297
2297793,2M19210326+3741190
2297825,2M19210483+3741036
2297952,2M19211052+3740310
2298436,2M19213635+3739445
2299465,2M19223563+3736262
2299926,2M19230332+3738009
2300227,2M19231956+3741102
2300329,2M19232489+3738534
2300399,2M19232831+3741495
2300503,2M19233375+3740096
2300853,2M19235436+3740359
2300877,2M19235541+3741106
2301068,2M19240652+3736500
2301349,2M19242206+3738241
2301565,2M19243594+3737077
2301577,2M19243659+3741006
2301872,2M19245100+3737013
2302010,2M19245855+3736306
2302246,2M19251160+3737079
2302548,2M19252754+3736330
2302851,2M19254185+3737490
2303101,2M19255446+3740212
2303200,2M19255892+3736237
2303289,2M19260333+3737527
2303367,2M19260880+3740242
2303414,2M19261131+3738171
2303610,2M19262054+3740556
2303756,2M19262687+3738284
2303870,2M19263228+3739240
2304104,2M19264511+3737317
2304320,2M19265799+3741202
2304655,2M19271665+3741015
2304765,2M19272308+3741582
2304850,2M19272748+3736508
2304883,2M19272989+3741215
2304915,2M19273183+3740017
2305145,2M19274533+3741176
2305255,2M19275148+3736316
2305338,2M19275560+3741574
2305372,2M19275768+3740219
2305407,2M19275908+3741282
2305479,2M19280288+3741507
2305543,2M19280644+3736023
2305590,2M19280882+3736381
2305669,2M19281221+3739151
2305866,2M19282240+3736485
2305930,2M19282563+3741232
