3783.3460   ;Fe II
3783.5300   ;Ni I
3784.2500   ;Nd II
3784.6530   ;Nd II
3784.8510   ;Nd II
3785.7070   ;Fe I
3785.7870   ;Fe I
3785.9480   ;Fe I
3786.0430   ;Ti I
3786.1680   ;Fe I
3786.3220   ;Ti II
3786.6770   ;Fe I
3786.8110   ;Fe I
3787.1640   ;Fe I
3787.2310   ;V II
3787.8810   ;Fe I
3788.4370   ;Dy II
3788.6940   ;Y II
3788.8400   ;Cr I
3789.1760   ;Fe I
3789.2940   ;Ti I
3789.4380   ;Fe I
3789.5740   ;Fe I
3789.7000   ;Cr I
3789.8190   ;Fe I
3790.0930   ;Fe I
3790.2390   ;Fe I
3790.3250   ;V I
3790.4960   ;Fe I
3790.6550   ;Fe I
3790.7540   ;Fe I
3790.8230   ;La II
3791.2050   ;Nb I
3791.3650   ;Cr I
3791.5060   ;Fe I
3791.7420   ;Fe I
3792.1550   ;Fe I
3792.3380   ;Ni I
3792.8270   ;Fe I
3793.2700   ;Cr I
3793.3540   ;Fe I
3793.4810   ;Fe I
3793.6080   ;Ni I
3793.8540   ;Cr I
3793.8720   ;Fe I
3793.9700   ;Sm II
3794.3400   ;Fe I
3794.5940   ;Cr I
3794.7420   ;Ti I
3795.0020   ;Fe I
3795.5320   ;Fe I
3795.7650   ;Tm II
3795.8940   ;Ti I
3796.0060   ;Fe I
3796.3710   ;Gd II
3796.4850   ;Zr II
3796.8850   ;Ti II
3796.8960   ;Fe I
3797.898    ;H_{Balmer-10}
3797.1190   ;Cr I
3797.5150   ;Fe I
3797.6950   ;Cr I
3797.9490   ;Fe I
3798.2520   ;Mo I
3798.5110   ;Fe I
3798.8980   ;Ru I
3799.5480   ;Fe I
3799.7860   ;Ti II
3799.9070   ;V I
3800.3230   ;Ce II
3800.5480   ;Mn I
3800.7040   ;Zr II
3800.8640   ;Y II
3801.0810   ;Ti I
3801.3360   ;Fe I
3801.3730   ;Nd II
3801.5200   ;Ce II
3801.6790   ;Fe I
3801.8090   ;Fe I
3801.9840   ;Fe I
3802.2790   ;Fe I
3803.0860   ;Ce II
3803.2420   ;Fe I
3803.4750   ;V I
3803.7840   ;V I
3803.9030   ;V I
3804.0100   ;Fe I
3804.1030   ;Nd II
3804.6110   ;Fe I
3804.7830   ;Cr I
3804.7920   ;Fe I
3805.3430   ;Fe I
3805.7700   ;Co I
3806.2170   ;Fe I
3806.6960   ;Fe I
3806.7110   ;Mn I
3807.1440   ;Ni I
3807.5370   ;Fe I
3808.0970   ;Co I
3808.2810   ;Fe I
3808.5170   ;V I
3808.7290   ;Fe I
3809.0400   ;Fe I
3809.1510   ;Fe I
3809.5640   ;Fe I
3809.5890   ;Mn I
3810.7560   ;Fe I
3810.9060   ;Fe I
3811.0350   ;Fe I
3811.2830   ;Ni I
3811.8040   ;Fe I
3811.8910   ;Fe I
3812.2040   ;Ce II
3812.4660   ;Co I
3812.9640   ;Fe I
3813.3940   ;Ti II
3813.4840   ;V I
3813.6350   ;Fe I
3813.9220   ;Co I
3813.9330   ;Fe I
3813.9700   ;Gd II
3814.5230   ;Fe I
3814.5810   ;Ti II
3814.7790   ;Fe I
3815.8400   ;Fe I
3816.3400   ;Fe I
3816.4540   ;Co I
3816.7420   ;Mn I
3816.9080   ;Fe I
3817.4510   ;Fe I
3817.6390   ;Fe I
3817.8440   ;V I
3817.9360   ;Co I
3818.2390   ;V I
3818.3410   ;Y II
3818.4550   ;Cr I
3818.6180   ;Fe I
3819.4930   ;Fe I
3819.6700   ;Eu II
3819.9510   ;Cr I
3820.4250   ;Fe I
3821.1770   ;Fe I
3821.4820   ;V I
3821.8340   ;Fe I
3822.0030   ;V I
3822.0220   ;Ti I
3822.4060   ;Zr I
3822.8860   ;V I
3823.2090   ;V I
3823.5040   ;Mn I
3823.8870   ;Mn I
3824.0750   ;Fe I
3824.4440   ;Fe I
3824.9130   ;Fe II
3825.4030   ;Fe I
3825.8810   ;Fe I
3826.4080   ;Cr I
3826.6260   ;Fe I
3826.8420   ;Fe I
3827.5720   ;Fe I
3827.8230   ;Fe I
3828.1510   ;Fe I
3828.1880   ;Ti I
